Dist_N,Dist_E,Dist_D,PowerRx,XZ,YZ,MAG
-1.1115000000000002,9.3016,-2.6835000000000004,-58.28518509570887,353.686,249.677,103.614
-1.1115000000000002,9.3016,-2.6835000000000004,-58.392993473145694,354.267,248.199,103.614
-1.1101999999999999,9.2958,-2.6801999999999997,-58.52676838422076,354.132,245.225,102.697
-1.1101999999999999,9.2958,-2.6801999999999997,-58.164901330508,354.637,244.44,102.697
-1.1140999999999999,9.2874,-2.6776,-58.25334338165817,354.931,241.39,102.745
-1.1112,9.2865,-2.6735,-58.29920727318669,354.91,237.529,102.794
-1.1068,9.2789,-2.6700999999999997,-58.25810887246738,354.472,255.964,103.177
-1.1086,9.2794,-2.6675999999999997,-58.02256917186136,354.063,245.225,102.505
-1.1146,9.2765,-2.6663,-58.2434268909164,354.593,240.524,102.079
-1.1075,9.2738,-2.6635000000000004,-58.35935307921239,352.677,255.964,102.6
-1.1079999999999999,9.2768,-2.6586000000000003,-58.519957358443115,353.762,261.573,105.068
-1.1079999999999999,9.2768,-2.6586000000000003,-58.39920510351276,353.762,261.573,105.068
-1.1147,9.270199999999999,-2.6378,-58.251217160733226,353.357,249.228,103.106
-1.1086,9.2612,-2.6182999999999996,-58.39809872254052,351.015,246.615,103.778
-1.1101999999999999,9.2513,-2.6102,-58.415074572435294,354.078,254.358,104.82
-1.1081,9.2624,-2.6071,-58.83578897354048,352.648,271.79,104.833
-1.1143,9.2751,-2.6031999999999997,-58.9829986394864,353.811,272.121,103.878
-1.1188,9.2672,-2.6031,-59.07880366182363,354.45,270.0,104.463
-1.1223,9.2686,-2.6111,-58.75981475761072,352.035,264.958,104.397
-1.129,9.269,-2.6157,-58.996372805841276,355.03,272.603,103.513
-1.1240999999999999,9.278500000000001,-2.6121,-59.239195177289005,353.787,267.879,102.67
-1.1220999999999999,9.2788,-2.6138999999999997,-59.25689424228412,354.701,267.51,103.778
-1.1251,9.2771,-2.6129000000000002,-59.34414179839031,354.267,276.843,102.785
-1.1315,9.2735,-2.6069,-16.293235788422823,354.516,267.614,101.9
-1.1315,9.2735,-2.6069,-16.34875453146313,354.516,267.614,101.184
-1.1265,9.2711,-2.602,-17.118420335134797,355.444,261.469,102.622
-1.1269,9.264299999999999,-2.5979,-17.232017074796378,355.121,270.0,102.229
-1.1238,9.2622,-2.5924,-17.43214788346596,355.815,270.0,102.458
-1.1239,9.2564,-2.5927999999999995,-16.470449795559126,357.219,255.964,101.989
-1.1138,9.2598,-2.597,-16.35249493453531,359.323,206.565,100.071
-1.1026,9.2689,-2.5956,-17.181183978313353,355.05,257.196,99.9954
-1.0866,9.2957,-2.5795999999999997,-14.948886800496206,356.894,257.905,100.877
-1.06,9.285,-2.5582,-13.247052624185603,357.316,225.0,100.443
-1.0356,9.285499999999999,-2.5527,-12.586713777836687,357.979,221.987,99.7899
-1.0312999999999999,9.2806,-2.5655,-11.906212216217222,355.832,225.0,100.877
-1.0295,9.2704,-2.5686,-11.421363534422216,355.565,242.241,102.386
-1.0239,9.2734,-2.5776,-12.935785487575579,355.898,240.945,101.136
-1.0341,9.2656,-2.5768,-12.085062645300146,357.252,230.194,99.9696
-1.0341,9.2656,-2.5768,-12.033383736256276,357.252,230.194,99.9696
-1.03,9.270900000000001,-2.5761000000000003,-13.66361780251134,356.047,239.534,100.961
-1.03,9.270900000000001,-2.5761000000000003,-13.623032876317149,356.047,239.534,100.961
-1.0267,9.266,-2.5782,-12.56317071597117,356.079,237.095,100.743
-1.0298,9.2653,-2.5736000000000003,-13.179771367715752,356.857,229.399,99.3908
-1.0399,9.2759,-2.5980000000000003,-12.472979371811553,357.946,221.987,99.6086
-1.0399,9.2759,-2.5980000000000003,-12.510605446503808,357.946,221.987,99.6086
-1.0406,9.279,-2.6212,-13.060419442785946,355.865,246.038,100.164
-1.0487,9.2814,-2.6311,-13.079791034409938,357.709,258.69,99.3503
-1.0399,9.2905,-2.647,-12.880402695067762,355.462,233.13,99.2409
-1.032,9.286200000000001,-2.6521,-12.764684298182702,354.846,246.501,98.937
-1.0473999999999999,9.2726,-2.6605000000000003,-13.530645164741436,356.138,243.435,100.325
-1.0456999999999999,9.2723,-2.6732,-13.176448085051948,355.914,247.166,101.133
-1.0488,9.2706,-2.675,-14.251817938937531,358.35,234.462,101.31
-1.0387,9.2677,-2.6925,-13.070127449005518,355.636,249.775,100.947
-1.0387,9.2677,-2.6925,-13.076495306043752,355.636,249.775,100.947
-1.0359,9.2639,-2.7048,-13.25202469548107,356.409,231.34,100.634
-1.0359,9.2639,-2.7048,-13.160263250442707,356.409,231.34,100.634
-1.0422,9.2609,-2.7060000000000004,-13.085782499328309,355.781,240.945,102.063
-1.0454999999999999,9.2608,-2.7157999999999998,-14.27891221992963,353.138,270.0,102.856
-1.0482,9.2666,-2.7234,-12.90843149940045,356.203,251.565,103.707
-1.046,9.265,-2.7124,-12.303240290246446,354.438,245.225,102.577
-1.0456,9.257,-2.6963,-12.220739244956647,355.882,234.162,102.016
-1.0506,9.2518,-2.6831,-12.993285090903548,355.492,244.654,102.353
-1.0528,9.2501,-2.6726,-12.472442235507671,354.659,238.671,101.265
-1.052,9.2491,-2.6677,-12.762813693410003,355.601,244.654,101.889
-1.0489,9.252,-2.6694999999999998,-12.970906488331488,355.274,251.565,102.653
-1.0489,9.252,-2.6694999999999998,-12.943208827740522,355.274,251.565,102.653
-1.0521,9.255,-2.6710000000000003,-13.151601896476699,355.882,251.565,102.724
-1.0423,9.2588,-2.6751,-12.815507280856869,357.23,239.744,101.936
-1.043,9.2501,-2.6793,-12.375678308818586,355.832,243.435,102.095
-1.0443,9.2459,-2.6806,-12.17261045983389,357.574,219.806,101.31
-1.0501,9.2521,-2.6874000000000002,-12.637555480576832,355.101,259.216,101.666
-1.0501,9.2521,-2.6874000000000002,-12.632817819526771,355.101,259.216,101.666
-1.0493000000000001,9.2486,-2.6794,-12.32660929114201,357.295,239.744,101.806
-1.0395,9.2414,-2.6798,-12.733947117760096,355.998,256.759,101.575
-1.04,9.24,-2.6789,-14.59730602723975,356.079,247.62,101.31
-1.0411,9.2333,-2.6776999999999997,-15.709128962660358,355.764,240.945,102.061
-1.03,9.229199999999999,-2.6733,-18.185000326399745,355.163,235.713,101.889
-1.03,9.229199999999999,-2.6733,-18.160059749645807,355.163,235.713,100.545
-1.0097,9.2153,-2.6688,-18.974483082299972,357.32,214.509,101.758
-0.9899,9.2075,-2.6751,-18.653000976960033,357.754,199.026,100.238
-0.9606,9.2159,-2.6845999999999997,-14.241885287673712,0.248032,177.709,101.31
-0.9533,9.2361,-2.6882,-11.866252568369774,356.269,246.038,100.061
-0.9601999999999999,9.2517,-2.6795,-9.652835609810689,355.965,266.634,100.047
-0.9457,9.259500000000001,-2.6839999999999997,-10.586761970170105,359.222,210.964,98.1301
-0.9217,9.246,-2.677,-11.010021558622027,359.057,213.69,100.285
-0.9217,9.246,-2.677,-11.051035161625546,359.057,213.69,100.285
-0.8898,9.2474,-2.6711,-13.939301039090351,355.153,253.74,105.524
-0.8898,9.2474,-2.6711,-13.79642844097033,355.153,253.74,102.941
-0.8767,9.240499999999999,-2.6566,-14.275371324062032,354.538,245.376,102.245
-0.85,9.2383,-2.6645,-15.590187767904716,357.354,210.069,100.349
-0.85,9.2383,-2.6645,-15.442740025072744,357.354,210.069,100.349
-0.8201,9.237,-2.6864,-15.01335006481904,356.807,222.879,99.5424
-0.8201,9.237,-2.6864,-14.770413791806403,356.807,222.879,99.5424
-0.7944,9.2483,-2.6956,-13.027005131265579,354.336,239.744,100.204
-0.7658,9.2722,-2.6938999999999997,-12.945637746358328,355.946,260.538,99.8756
-0.7658,9.2722,-2.6938999999999997,-12.942878676182302,355.946,260.538,99.8756
-0.7423000000000001,9.2972,-2.6976999999999998,-12.892314451176485,358.755,327.995,100.187
-0.7423000000000001,9.2972,-2.6976999999999998,-12.160076722920245,358.755,327.995,100.187
-0.7201000000000001,9.3179,-2.6976,-12.842280804519689,358.107,277.125,100.085
-0.7201000000000001,9.3179,-2.6976,-12.917080755763468,358.107,277.125,100.085
-0.7031999999999999,9.320599999999999,-2.6918,-16.097320191929192,357.035,270.0,100.931
