Dist_N,Dist_E,Dist_D,PowerRx,XZ,YZ,MAG
0.3907,6.221,-1.004,-14.954746899565745,1.37483,108.435,95.8625
0.3906,6.2296000000000005,-1.0202,-15.006599468927202,1.62333,113.199,95.8109
0.3906,6.2296000000000005,-1.0202,-14.960948914100811,1.62333,113.199,95.3797
0.3856,6.2315,-1.0265,-15.363336568518216,0.0,180.0,95.6595
0.387,6.2358,-1.035,-15.072123749401193,1.60386,113.199,95.686
0.3901,6.2496,-1.0541,-15.097633232543131,2.29061,95.7106,93.2491
0.3901,6.2496,-1.0541,-15.029980724264103,2.29061,95.7106,93.2491
0.38530000000000003,6.2537,-1.0667,-15.803930334917005,0.465809,146.31,97.3767
0.37549999999999994,6.2533,-1.082,-16.063574746368346,0.935358,135.0,98.3806
0.3786,6.2524,-1.088,-16.373190515655736,1.15036,90.0,97.2803
0.3796,6.2428,-1.0805,-16.16329433402744,1.13667,78.69,96.971
0.3786,6.25,-1.0889,-16.312630044742022,0.687516,149.036,96.783
0.3786,6.25,-1.0889,-16.302283317662905,0.687516,149.036,96.783
0.3826,6.2514,-1.0914,-16.419078041015535,0.924045,104.036,96.534
0.38780000000000003,6.2447,-1.0926,-16.069247480291466,1.155,140.194,96.6666
0.3883,6.2407,-1.085,-16.360012534350297,1.16439,120.964,97.7427
0.3892,6.238300000000001,-1.0801,-16.34576313180051,1.155,101.31,96.0618
0.3892,6.238300000000001,-1.0801,-16.341238958687747,1.39718,99.4623,96.0618
0.38909999999999995,6.2358,-1.0753,-15.866924783431216,359.77,188.13,96.7243
0.3889,6.241499999999999,-1.0751,-15.912261914107555,0.235784,171.87,96.534
0.3889,6.241499999999999,-1.0751,-15.936941811303099,359.776,198.435,96.534
0.3923,6.2414,-1.0718,-14.304652505048454,1.34789,116.565,99.08
0.38170000000000004,6.2555,-1.0832,-13.543234899100142,359.087,296.565,100.115
0.389,6.270499999999999,-1.0925,-13.637672923261325,358.85,270.0,100.162
0.3986,6.268400000000001,-1.0867,-13.372857730997357,357.922,263.66,101.104
0.3914,6.270599999999999,-1.1003,-12.893746705679408,357.7,243.435,102.558
0.4022,6.2787,-1.0964,-11.99218117406274,358.37,278.13,101.413
0.4011,6.2879,-1.1059,-11.488989068357993,356.899,287.103,103.536
0.3962,6.3156,-1.1247,-14.049401646767594,357.093,312.709,106.271
0.3895,6.356599999999999,-1.1616,-14.550959026772109,357.745,322.431,105.836
0.3895,6.356599999999999,-1.1616,-14.524966066693441,357.745,322.431,105.836
0.3886,6.3761,-1.1748,-14.257054051354173,356.353,316.736,106.049
0.3887,6.3804,-1.1912,-12.041234384464449,355.389,311.987,105.843
0.3935,6.4013,-1.2142,-13.744573408488424,356.539,310.914,105.105
0.3945,6.4288,-1.2394,-11.724562482290008,355.849,303.69,103.919
0.3945,6.4288,-1.2394,-11.737621560140036,355.849,303.69,103.919
0.4007,6.4436,-1.2741,-12.052741134661778,356.063,305.218,106.538
0.39640000000000003,6.455299999999999,-1.3013,-12.976666024095936,355.865,299.055,106.47
0.3953,6.4700999999999995,-1.3163999999999998,-11.878737579880937,356.015,309.472,105.945
0.3909,6.4906,-1.3419999999999999,-12.968313581914037,355.882,305.838,106.699
0.3843,6.5042,-1.3685,-13.028422396869297,356.125,300.466,105.486
0.39020000000000005,6.5126,-1.3861,-13.7580943114366,359.239,345.964,105.878
0.3953,6.5027,-1.3919,-15.342975874724543,357.52,285.255,107.745
0.3892,6.4963999999999995,-1.3944999999999999,-17.29976669540876,356.141,297.897,106.675
0.3892,6.4963999999999995,-1.3944999999999999,-17.597753247991275,356.141,297.897,106.675
0.41340000000000005,6.501799999999999,-1.3876,-19.588617010987154,356.82,338.75,108.356
0.41340000000000005,6.501799999999999,-1.3876,-18.940016587661162,356.82,338.75,108.356
0.4235,6.501799999999999,-1.3869,-17.63301861872329,355.408,316.397,108.05
0.4347,6.5001,-1.4078,-17.866895687933773,355.05,287.65,107.281
0.4347,6.5001,-1.4078,-17.87412868787265,355.216,296.565,107.281
0.4606,6.495,-1.4022999999999999,-15.6158926064632,356.003,333.435,105.341
0.4606,6.495,-1.4022999999999999,-17.151485889552152,352.185,285.945,105.68
0.4805,6.4837,-1.3875,-20.092190622854428,356.041,304.992,105.945
0.4805,6.4837,-1.3875,-19.93374272504184,356.041,304.992,104.4
0.4825,6.4878,-1.3691,-16.715816766461998,354.289,297.408,105.604
0.5036,6.4826,-1.3593000000000002,-20.075380271341704,359.732,357.274,106.504
0.5036,6.4826,-1.3593000000000002,-19.769710135874465,359.732,357.274,106.504
0.5242,6.4797,-1.3538999999999999,-19.250540456368974,,,
0.5242,6.4797,-1.3538999999999999,-19.254814927842755,1.79693,38.6598,105.233
0.5437,6.4631,-1.3388999999999998,-18.649092315556235,357.241,312.51,104.098
0.5579999999999999,6.4896,-1.3316999999999999,-18.115599979308403,1.91713,10.7843,104.534
0.5659000000000001,6.511799999999999,-1.3393000000000002,-16.77017380319309,358.258,323.973,103.976
0.5659000000000001,6.511799999999999,-1.3393000000000002,-16.83864787001506,358.258,323.973,104.096
0.5921,6.5026,-1.337,-15.827715770797672,350.676,279.039,101.962
0.6059,6.4935,-1.3481,-19.289055263947375,358.328,331.927,104.16
0.6136,6.5123,-1.3594,-17.604088805598938,354.269,316.005,105.382
0.6248,6.5038,-1.3535,-16.29646359258903,357.331,335.376,107.155
0.6369,6.479500000000001,-1.3465,-15.480197147991612,356.658,290.556,106.837
0.6564,6.4769000000000005,-1.3528,-14.547365939147102,351.656,281.976,105.376
0.6487999999999999,6.455,-1.3566,-13.742861893305383,354.516,292.62,106.455
0.6487999999999999,6.455,-1.3566,-13.76301371892792,354.516,292.62,106.455
0.6629999999999999,6.4587,-1.3528,-15.298766405682862,355.255,307.304,105.651
0.6765000000000001,6.459199999999999,-1.3377000000000001,-14.726083382796798,356.248,262.875,105.68
0.6765000000000001,6.459199999999999,-1.3377000000000001,-14.775819148684663,356.248,262.875,105.68
0.6949,6.4484,-1.3272,-14.328401283829306,357.691,324.462,105.68
0.7029000000000001,6.4232000000000005,-1.2953999999999999,-15.39849859169292,355.583,297.759,105.059
0.7245,6.4127,-1.2813999999999999,-15.509192083258785,355.292,295.463,104.978
0.7245,6.4127,-1.2813999999999999,-15.59622977945308,355.292,295.463,104.978
0.7368000000000001,6.4075,-1.2761,-17.151963723367448,357.035,294.775,105.43
0.7368000000000001,6.4075,-1.2761,-17.177882093044595,357.035,294.775,105.43
0.7402,6.416,-1.2764,-16.970858671920993,355.352,275.711,106.628
0.7497,6.4139,-1.2728,-16.2502407187838,353.383,279.782,106.582
0.7635,6.4176,-1.2736,-15.3671416649706,356.912,294.775,105.88
0.773,6.4079,-1.2761,-15.915021157530099,358.145,336.037,104.272
0.7892,6.4175,-1.2826,-15.643787858061646,356.031,302.905,104.477
0.7892,6.4175,-1.2826,-15.509667057682508,353.83,286.26,104.477
0.7886,6.4119,-1.2867,-16.49356394349386,,,
0.7886,6.4119,-1.2867,-16.604070429348848,353.991,294.775,105.315
0.7927,6.4402,-1.2915999999999999,-16.38415896249757,351.421,266.729,104.365
0.8148000000000001,6.4575,-1.3108000000000002,-17.30030294260683,355.898,316.548,105.499
0.8148000000000001,6.4575,-1.3108000000000002,-17.01467512810041,358.544,346.504,105.499
0.8269,6.4791,-1.3261,-16.669043386502363,357.587,327.095,103.54
0.843,6.4821,-1.3394,-16.533708359330173,358.203,318.366,104.148
0.8473999999999999,6.4879,-1.3544,-16.758409631325662,357.905,337.751,103.69
0.8509,6.488099999999999,-1.3666,-17.20120822079848,356.566,324.462,102.275
0.8598,6.4954,-1.368,-17.100061602876114,357.337,327.724,103.586
0.8739,6.479,-1.3525,-16.729032641587384,356.594,330.018,103.149
0.8864,6.4612,-1.3334000000000001,-16.33002250457459,355.688,276.009,103.701
0.8924,6.4477,-1.3263999999999998,-16.333128254779876,356.11,286.39,105.094
0.8924,6.4477,-1.3263999999999998,-16.386119086428593,356.11,286.39,105.094
0.9120999999999999,6.448099999999999,-1.3184,-16.782604731413304,356.511,313.025,102.875
0.9170999999999999,6.448099999999999,-1.3069,-17.194295315024803,358.083,337.166,102.206
0.9388,6.4452,-1.2841999999999998,-16.8962890433186,358.674,333.435,103.647
0.9518000000000001,6.431699999999999,-1.2744,-17.455664040089648,357.5,319.764,103.641
0.958,6.4353,-1.2692,-16.69124405738335,357.879,333.435,102.426
0.9783,6.437799999999999,-1.2634,-16.379430331408376,355.836,311.82,101.997
0.9942,6.4324,-1.2669,-16.421878162219187,358.668,333.435,103.213
1.0137,6.4396,-1.2699,-17.539322005975436,355.216,286.699,103.505
1.0241,6.4424,-1.2714,-16.969004554520858,355.95,313.152,101.827
1.0241,6.4424,-1.2714,-16.991944710293698,355.95,313.152,101.827
1.0218,6.440499999999999,-1.2762,-16.92464693126768,358.608,335.225,103.227
1.0285,6.4428,-1.2826,-16.78476578145404,358.62,309.806,104.387
1.0389,6.4365,-1.2795,-16.871544100353695,355.832,309.806,102.922
1.0589,6.4512,-1.2841999999999998,-17.241079917071435,357.023,333.435,104.601
1.0589,6.4512,-1.2841999999999998,-17.128598162704613,357.023,333.435,104.601
1.0727,6.445399999999999,-1.2852000000000001,-16.681165657277315,358.831,330.945,103.449
1.0904,6.4461,-1.2953999999999999,-17.087026006784644,354.925,270.0,103.294
1.0927,6.4464,-1.2878,-16.96175020676046,357.93,337.751,101.926
1.1046,6.4628,-1.2997,-16.915366381088713,356.338,328.392,103.523
1.1244,6.472300000000001,-1.3141,-16.854069943184367,359.772,356.634,103.979
1.1456,6.4813,-1.3259999999999998,-16.947664297823188,0.966925,14.0362,104.036
1.1558,6.477799999999999,-1.3222999999999998,-18.41160091031619,0.231966,2.38594,102.657
1.1558,6.477799999999999,-1.3222999999999998,-18.498825126502283,358.114,330.255,101.729
1.1606,6.4749,-1.3163999999999998,-18.05898807501185,355.48,315.0,103.201
1.1617,6.4799,-1.3122999999999998,-17.91872567187443,355.994,299.055,105.598
1.1763,6.4744,-1.3073,-17.690910852148928,354.086,280.885,105.275
1.1736,6.4732,-1.3107,-18.119999688881155,357.184,324.782,107.34
1.1736,6.4732,-1.3107,-18.170800380265458,357.184,324.782,107.34
1.1804999999999999,6.4607,-1.3025,-18.185066238169515,355.14,299.745,105.598
1.178,6.458200000000001,-1.2996,-18.87876946247409,353.427,308.157,105.66
1.178,6.458200000000001,-1.2996,-18.951017309337534,353.427,308.157,106.168
1.1799,6.458099999999999,-1.2918,-18.379928560941096,352.73,287.879,106.765
1.2013,6.4527,-1.2756999999999998,-18.033853660758762,355.772,311.82,105.978
1.2303,6.448300000000001,-1.2601,-18.16118787255938,356.58,303.69,106.376
1.2383,6.4495000000000005,-1.2558,-18.471805149733886,357.905,339.444,104.551
1.2577,6.4614,-1.2607,-18.50267422179649,355.865,324.246,104.767
1.2569,6.4615,-1.2698,-17.884280448766635,359.532,345.964,104.261
1.2758,6.4609000000000005,-1.2784,-18.428499285035343,355.547,284.744,104.792
1.2722,6.459,-1.2841999999999998,-18.902853874975293,357.772,334.537,104.508
1.2722,6.459,-1.2841999999999998,-18.7629458551626,357.772,334.537,104.508
1.2890000000000001,6.475,-1.2889,-18.5068755322681,355.196,315.0,105.687
1.2890000000000001,6.475,-1.2889,-18.346212742271916,355.196,315.0,105.687
1.3041,6.478899999999999,-1.2824,-18.332968128063445,357.634,315.0,106.297
1.3121,6.4616,-1.2748,-18.757229637177993,357.023,312.709,105.024
1.3121,6.4616,-1.2748,-18.650225972869602,357.023,312.709,105.024
1.328,6.4549,-1.2686,-18.558182515310225,354.723,309.56,106.27
1.3415000000000001,6.456,-1.2646,-18.554755838312328,355.498,308.66,105.614
1.3411000000000002,6.4616999999999996,-1.2727,-18.84749499670727,353.711,312.797,106.168
1.3411000000000002,6.4616999999999996,-1.2727,-18.77306857183561,353.711,312.797,106.168
1.351,6.4574,-1.2606,-18.79892057058726,356.95,315.0,106.722
1.3563999999999998,6.461799999999999,-1.2737,-18.820875597888318,358.383,327.529,105.819
1.3476,6.5005,-1.3263,-19.19849765423804,356.857,308.157,105.786
1.3476,6.5005,-1.3263,-19.216793754553322,356.857,308.157,104.826
1.3515000000000001,6.520499999999999,-1.3588999999999998,-18.905711439258532,356.795,322.125,103.478
1.3731,6.55,-1.376,-18.978758737036593,357.058,319.086,103.149
1.3838,6.573200000000001,-1.3916,-19.488496084763778,0.0,0.0,103.921
1.3838,6.573200000000001,-1.3916,-19.445405287162032,0.0,0.0,103.921
1.3984,6.587899999999999,-1.4022999999999999,-19.05968692815253,356.539,284.931,105.716
1.3984,6.587899999999999,-1.4022999999999999,-18.903449274951345,356.539,284.931,105.716
1.4206,6.590599999999999,-1.4113,-19.26681886043284,357.184,303.69,105.297
1.4325999999999999,6.5941,-1.4163,-19.229152232695256,355.865,323.13,105.815
1.445,6.6058,-1.4180000000000001,-19.446544570934147,356.186,293.629,104.261
1.445,6.6058,-1.4180000000000001,-19.264042230289327,356.186,293.629,104.261
1.446,6.603,-1.4234,-19.701664377591474,355.693,307.875,105.041
1.4531999999999998,6.6096,-1.4225,-19.60383157416189,356.975,320.906,106.043
1.4571,6.6079,-1.4224,-19.481013094543556,357.719,333.435,104.268
1.4571,6.6079,-1.4224,-19.572048841454432,357.719,333.435,104.268
1.4923,6.611000000000001,-1.4262000000000001,-19.84896931203233,355.492,322.765,104.148
1.4909999999999999,6.6038,-1.4269999999999998,-19.531037869743574,357.594,322.431,104.66
