"Each row has the same USRP gain, is a vector of measured power
 First row is the gen power range"
USRP Gain / Gen Power,-40.0,-38.9,-37.9,-36.8,-35.8,-34.7,-33.7,-32.6,-31.6,-30.5,-29.5,-28.4,-27.4,-26.3,-25.3,-24.2,-23.2,-22.1,-21.1,-20.0
55.0,10.793460009300148,10.919848417449524,10.952962396140451,10.911833310191508,10.901470365301158,11.06408257984793,11.162269236679398,11.184299797395521,11.251837698875326,11.112314362162534,11.274231928107842,11.300633481013703,11.274309654596014,11.142790793010729,11.219722308555276,11.144515782630219,11.182052791332152,11.254945231160697,11.318903347837413,11.327969196932566
55.5,10.665766754924821,10.715073165080543,10.643291887429175,10.662704764585623,10.778896814283863,10.937723637617111,10.904059015326343,10.987105736996979,11.054134327058652,11.079568078522268,11.12271170648999,11.103683079000248,11.23993248928485,11.200218345335765,11.301468142425446,11.325287795226753,11.2806046001133,11.379315531373146,11.28029092201834,11.343435311214288
56.1,10.728606793191112,10.872771830591887,10.82983161640325,10.94764659765259,11.015221015073626,10.988204808732172,11.056460403265628,11.305060428968252,11.083960046099754,11.211639268437008,11.337359325610063,11.232862362937604,11.339280767352168,11.224683543655384,11.278638480619152,11.314613934537684,11.316577448397668,11.37281053916045,11.332008210781918,11.330969818061478
56.6,10.705954061576513,10.81803399073156,10.872851425164663,10.909650741338647,10.88573190830662,11.11004197298384,11.09795923249946,11.10137555625187,11.05588307189301,11.34350899893014,11.350733179937562,11.254589245687065,11.283457475414046,11.396671110194813,11.367670701747432,11.30076666644136,11.409369844992952,11.319937620546636,11.312616758973743,11.369420620186528
57.1,10.792130463016314,10.855115629529257,10.841384939374317,11.027865156408819,11.012113041117287,11.064784667981042,11.088935731790711,11.212245158419924,11.104190724386617,11.233580243086985,11.29177194557216,11.29881540580708,11.369511501867517,11.460204313796858,11.460802122114544,11.337209232719232,11.390745933136353,11.350414508693111,11.35113970466322,11.458914954076047
57.6,10.730595234731963,10.82268506982292,10.99666206927751,11.2865569971657,11.203812879861328,11.314719419162069,11.093454027162116,11.440947646157404,11.281032041950235,11.415348522671957,11.327175611896914,11.29741809435969,11.407967875128362,11.325791957276255,11.385506805707934,11.355352936362461,11.388196995180188,11.261561161998985,11.445661851978244,11.430804623336275
58.2,11.050580139759187,11.067441593492955,11.24606048827908,11.197879876443986,11.261057336366976,11.209696338606078,11.324699930230429,11.196919687435685,11.3025596719575,11.284040656189665,11.311207865613603,11.421957443186628,11.415558034779053,11.44824977102801,11.399141929452467,11.346988702765264,11.412942870071689,11.409119375358468,11.459665848774597,11.429374992741554
58.7,10.898404285414216,11.043654850075784,11.15721949168194,11.131985534679913,11.128483207232224,11.331927190217595,11.198319303911294,11.167635034338748,11.287753656625283,11.392050535624003,11.306848722739113,11.30764037096868,11.328674220886375,11.3622678365881,11.39208966008095,11.450425827379702,11.412987254491721,11.440828347970943,11.373605172608128,11.340231076874772
59.2,11.145089127498093,11.204946023265833,11.294238385599765,11.275632284192854,11.327631693456585,11.38835054283243,11.377183898007718,11.312857284531521,11.3894579505421,11.396928375875833,11.421678605186031,11.420095572302884,11.338308264550658,11.422933425219806,11.378043889479132,11.408516490313058,11.338953824357203,11.391070414476692,11.421134760839168,11.339202334974432
