"Each row has the same USRP gain, is a vector of measured power
 First row is the gen power range"
USRP Gain / Gen Power,-40.0,-38.9,-37.9,-36.8,-35.8,-34.7,-33.7,-32.6,-31.6,-30.5,-29.5,-28.4,-27.4,-26.3,-25.3,-24.2,-23.2,-22.1,-21.1,-20.0
20.0,-43.5270145632858,-42.441172145741255,-41.45483006270601,-40.410277043797116,-39.361682889505914,-38.228652225209814,-37.25062371303762,-36.1011482143536,-35.150025754463606,-34.02996708244327,-33.0853488263803,-31.993891074174098,-31.005882313760385,-29.927676602315614,-28.941182887974954,-27.846635949486977,-26.879988779818852,-25.754171560457895,-24.767470621426735,-23.67499177001225
21.6,-42.55952530408424,-41.43482829728007,-40.48571957326661,-39.42653641709752,-38.41392404836479,-37.273075107974655,-36.263364196845664,-35.16425815989912,-34.18147476509989,-33.076180113787316,-32.108002761859375,-31.030894366534,-30.03090160457389,-28.952269213462607,-27.964813452611754,-26.87068836279486,-25.89980801285401,-24.787984075273904,-23.804585269885845,-22.706833680684916
22.6,-41.528672502883026,-40.43419895841199,-39.49839288392203,-38.412801102260374,-37.37396195990212,-36.24374711160007,-35.26161382111582,-34.130390242056556,-33.15980688905801,-32.05120233780215,-31.093310215812977,-30.006308169482615,-29.005894836080227,-27.925937393686546,-26.945230766185507,-25.856303649017246,-24.87867864532953,-23.760404852309215,-22.773938724279752,-21.681519208701367
23.7,-40.51204694361805,-39.4309111922662,-38.47331295515146,-37.405925865501345,-36.364919935951484,-35.26078853152758,-34.277267462237866,-33.13008380828928,-32.15417355669179,-31.05386191574957,-30.09364462191355,-29.010734606021536,-28.016372773347655,-26.938974960305423,-25.90082064710682,-24.85638899142074,-23.88261316509179,-22.772698630924882,-21.785060396909348,-20.687214013095904
24.7,-39.5529778535075,-38.48733620482378,-37.53414620008515,-36.45829834473042,-35.434242576054025,-34.29519463144882,-33.314074618752095,-32.19062688309223,-31.218815261733873,-30.106604636859498,-29.14018242103176,-28.064952993469614,-27.0701222361904,-25.90153384239602,-24.99639669500464,-23.901240887181594,-22.91786927736082,-21.817967228786614,-20.831663537150582,-19.737044533628627
25.8,-38.62806128333972,-37.54476473308349,-36.58921649516532,-35.506144927109354,-34.455993465387756,-33.33786262813281,-32.353822954841256,-31.229674718985933,-30.258972798187777,-29.146283933283122,-28.188438809259093,-27.103739207998153,-26.465570656941356,-25.026279401186695,-24.045813278209454,-23.44500314784494,-21.97345060153967,-20.867839735048342,-19.876084243063183,-18.78424046963482
26.8,-37.64063503593732,-36.54237138432588,-35.56095975742001,-34.48920014397898,-33.46028251663741,-32.33124040117929,-31.340599334401105,-30.206675177841483,-29.23563696911055,-28.12684309904905,-27.161673896710898,-25.801785852696746,-25.086420532506004,-24.00681519904699,-22.82539941383427,-21.930238703123294,-20.954374086023513,-19.84595470565865,-18.85895770487425,-17.757609151677663
27.9,-36.65284655024421,-35.55981295819417,-34.60078540645756,-33.52803207422626,-32.48244379670486,-31.364020846610806,-30.375562511122602,-29.250070087338663,-28.270733202302893,-27.162795391390496,-26.56395018419898,-25.116897068284484,-24.117264282258738,-22.802162423314563,-22.05730612888658,-20.95857956022809,-20.426266225030883,-18.877894583670717,-17.884369083307483,-16.78819970608715
28.9,-35.68479564772512,-34.58677721804693,-33.63884534787128,-32.564044329104135,-31.52946108399408,-30.40529245842189,-29.415990134494916,-28.275050262028365,-27.315028414364445,-25.90783430407235,-25.240411765087256,-24.15972065246374,-23.456924427350977,-22.083285980843545,-21.097150939163033,-19.836920626541318,-19.031258359782377,-17.920662485293995,-16.925371514175517,-15.833161164902412
