"Each row has the same USRP gain, is a vector of measured power
 First row is the gen power range"
USRP Gain / Gen Power,-40.0,-38.9,-37.9,-36.8,-35.8,-34.7,-33.7,-32.6,-31.6,-30.5,-29.5,-28.4,-27.4,-26.3,-25.3,-24.2,-23.2,-22.1,-21.1,-20.0
0.0,-35.102108622868485,-34.01618175911399,-33.041639938606785,-31.976418238977352,-30.93477820072676,-29.8082252532759,-28.820539736255064,-27.685370645650853,-26.716106844598222,-25.60909760226638,-24.64930903447536,-23.568901441529917,-22.574400589389075,-21.495411559256546,-20.51827468631603,-19.423843296515162,-18.454109562983128,-16.666773973518435,-16.221923811260886,-15.150973663398966
5.5,-32.097981725244736,-31.00629501724527,-30.033689630512335,-28.957045616337858,-27.92577059332303,-26.78947738754419,-25.80537888611501,-24.66412544465387,-23.70226025811703,-22.591097959400575,-21.632302583755923,-20.549793486903106,-19.556151701143506,-18.472739302737917,-17.492483850295987,-16.403365628894267,-15.43572386205199,-13.623050405060543,-13.197948145690173,-12.13085459476881
10.9,-27.132093560839373,-25.983267446365222,-25.071008833571007,-23.998121026869722,-22.948833930080887,-21.818628633366632,-20.834358758144464,-19.702534935628258,-18.731655320621314,-17.62548666665058,-16.658610810868357,-15.577611867404789,-14.586260457427525,-13.503657204137621,-12.524618613328546,-11.432579324595874,-10.464210316978054,-9.206021992124914,-8.226626642076438,-7.154231690078758
16.4,-21.152555772728295,-20.436505775527415,-19.092867422342408,-18.01883264711894,-16.969445756246046,-15.840464626785907,-14.858485926643695,-13.718006292919956,-12.751168212287864,-11.643254210241608,-10.686277273028786,-9.599831609545541,-8.60617966992137,-7.525068234123855,-6.5451359907963464,-5.452320711562538,-4.481122537002466,-3.2328554178808964,-2.244392126913046,-1.176969829667851
21.8,-16.60019617886972,-15.502902681333447,-14.533805763205905,-13.461094968690043,-12.417026291294746,-11.2844628254968,-10.302174629341321,-9.166196548957988,-8.202561432073157,-7.089961815148046,-6.127465042611837,-5.2907889606679745,-4.047412250233006,-2.968823649415252,-1.9921153642917886,-0.8957438749877047,0.08094255639412193,1.333143801659682,2.3162676368501502,3.389618046802031
27.3,-10.664429204299555,-9.574920414840332,-8.603710870714057,-7.531509053967282,-6.483954836101338,-5.356806301545268,-4.3696286015549095,-3.236996829480482,-2.2676616571187815,-1.1614745379731857,-0.20104937596040334,0.8811735509995773,1.8754701420610247,2.955618451267365,4.323202404634364,5.026302742756938,5.948125774104734,7.04978480975348,8.540173350096268,9.354434515599207
32.7,-5.41821632126418,-4.327294413924415,-3.4077662815111047,-2.335018160045274,-1.2855498025046184,-0.15896623352562048,0.8256748979415839,2.0121485065440834,2.9790175046759715,4.036226684075077,4.9981133358731595,6.128565324386254,6.9304240118308815,8.53421447031834,9.093633551931575,9.720366026326076,10.075363167448959,10.04368141506436,10.254056651161424,10.470771961725708
38.2,-0.16400757200854174,1.3523988699173575,1.890140171301563,2.958098819254446,3.676578538437238,5.171746282640848,6.100622176062308,7.0959996915781955,8.528602159499842,9.270774025828658,9.63204890624904,10.18148940778087,10.310254694290641,10.250174417346528,10.38086934034757,10.501575994194962,10.738101739448219,10.875843772182945,10.941640418472954,10.983010623904583
43.6,4.891973301380226,5.937421254548551,6.900034779298958,8.154213386721029,9.156596717036056,9.62219431431686,10.109563105257637,10.314209985473859,10.476512966277733,10.430549248939549,10.70713042141233,10.623573315138913,10.783450145063188,10.714972248764694,10.677372831694655,10.873495987043844,10.827307230769298,10.892353307053158,10.975421362908218,11.008020344621302
49.1,9.69895555933854,9.653282443833957,10.184507460804126,10.158614522738583,10.18776670479161,10.255255375003957,10.355861937469896,10.525620429499138,10.651348628858338,10.66903095965868,10.790800737849668,10.91083316678765,10.93728792899099,11.01750481642914,11.107537226709187,11.142157279746186,11.110252917356949,11.179885782950578,11.301356490625079,11.200917667521137
54.5,10.273314396685986,10.318193755389188,10.499227266160933,10.722428407300637,10.844790307947518,10.907572070622995,10.973492415411611,11.039363374254439,11.040702103627586,11.13226567441716,11.14017455692707,11.1862196132404,11.192457237953603,11.262742943216628,11.349059988736343,11.312397161836595,11.384789082362127,11.383829279212437,11.366380852591472,11.394800934509295
60.0,10.9180277296026,10.956118533749457,10.986316241798823,11.065647904762175,11.144343929938902,11.15976151323297,11.172843888320248,11.22884859888989,11.307472527415234,11.30260110308786,11.322372896859502,11.369494286415748,11.38217647232203,11.373734968986005,11.325963762879113,11.456217774747774,11.446619139955407,11.428742252549974,11.511208885138641,11.415250115708684
