R_N/Lon,R_E/Lat,R_D/Hgt,PosType,PowerRx,XZ,YZ,MAG
-74.0828294,4.6392576,2588296,absPos,-59.810041343530656,29.2358,22.848,291.299
-74.0828294,4.6392576,2588296,absPos,-59.99662935160835,29.2358,22.848,291.299
-74.0828294,4.6392576,2588296,absPos,-60.13030128575889,29.2358,22.848,291.299
-74.0828294,4.6392576,2588296,absPos,-60.051943295313784,29.2358,22.848,291.299
-74.0828294,4.6392576,2588296,absPos,-59.931402746687795,29.2358,22.848,291.451
-74.0828294,4.6392576,2588296,absPos,-59.976585126652594,29.2358,22.848,291.451
-4.6097,-1.0916,-7.4213,relPos,-59.96487330789701,29.2358,22.848,291.451
-4.6097,-1.0916,-7.4213,relPos,-60.15502830721474,28.4019,22.76,291.451
-4.6097,-1.0916,-7.4213,relPos,-59.8927895121136,28.4019,22.76,291.451
-4.6097,-1.0916,-7.4213,relPos,-59.897860218925715,28.4019,22.76,291.451
-4.6097,-1.0916,-7.4213,relPos,-60.21145666926159,28.4019,22.76,291.375
-4.6097,-1.0916,-7.4213,relPos,-59.87289142689039,28.4019,22.76,291.375
-4.6097,-1.0916,-7.4213,relPos,-60.01035759553791,28.4019,22.76,291.375
-4.6097,-1.0916,-7.4213,relPos,-60.15122276578274,28.4019,22.76,291.375
-4.6097,-1.0916,-7.4213,relPos,-60.020783722178706,28.4019,22.76,291.375
-4.6097,-1.0916,-7.4213,relPos,-60.118999922586944,28.4019,22.76,291.375
-74.0828296,4.6392573,2588250,absPos,-60.15105917509693,26.565,21.3458,291.898
-74.0828296,4.6392573,2588250,absPos,-60.06074714171155,26.565,21.3458,291.898
-74.0828296,4.6392573,2588250,absPos,-60.04084406305892,26.565,21.3458,291.898
-74.0828296,4.6392573,2588250,absPos,-60.1506502253398,26.565,21.3458,291.898
-74.0828296,4.6392573,2588250,absPos,-60.270708648304954,26.565,21.3458,291.898
-74.0828296,4.6392573,2588250,absPos,-60.25403925927744,26.565,21.3458,291.898
-74.0828296,4.6392573,2588250,absPos,-60.01276354676169,26.565,21.3458,291.18
-74.0828296,4.6392573,2588250,absPos,-60.134679263196006,26.565,21.3458,291.18
-74.0828296,4.6392573,2588250,absPos,-60.01567654337688,26.565,21.3458,291.18
-4.6387,-1.1132,-7.376,relPos,-59.935166307736765,26.565,22.0914,291.18
-4.6387,-1.1132,-7.376,relPos,-60.08393267911699,26.565,22.0914,291.18
-4.6387,-1.1132,-7.376,relPos,-59.90121834233351,26.565,22.0914,291.821
-4.6387,-1.1132,-7.376,relPos,-60.12962943850259,26.565,22.0914,291.821
-4.6387,-1.1132,-7.376,relPos,-59.792146433379926,26.565,22.0914,291.821
-4.6387,-1.1132,-7.376,relPos,-60.0288982603565,26.565,22.0914,291.821
-4.6387,-1.1132,-7.376,relPos,-59.9150735649001,26.565,22.0914,291.821
-4.6387,-1.1132,-7.376,relPos,-59.990565042068425,26.565,22.0914,291.821
-4.6387,-1.1132,-7.376,relPos,-60.07557408089006,26.3975,21.6858,291.392
-4.6387,-1.1132,-7.376,relPos,-60.07763442032707,26.3975,21.6858,291.392
-74.08283,4.6392573,2588236,absPos,-60.081979726117396,26.3975,21.6858,291.392
-74.08283,4.6392573,2588236,absPos,-60.10731319646357,26.3975,21.6858,291.392
-74.08283,4.6392573,2588236,absPos,-60.15348299273878,26.3975,21.6858,291.392
-74.08283,4.6392573,2588236,absPos,-60.16978040584412,26.3975,21.6858,291.607
-74.08283,4.6392573,2588236,absPos,-59.87932201123677,26.3975,21.6858,291.607
-4.642799999999999,-1.1532,-7.3618,relPos,-59.84104328700427,26.3975,21.6858,291.607
-4.642799999999999,-1.1532,-7.3618,relPos,-60.0953143153772,26.565,21.5713,291.607
-4.642799999999999,-1.1532,-7.3618,relPos,-59.973570936384306,26.565,21.5713,291.607
-4.642799999999999,-1.1532,-7.3618,relPos,-60.00302853033537,26.565,21.5713,291.607
-4.642799999999999,-1.1532,-7.3618,relPos,-60.00759623154185,26.565,21.5713,291.278
-4.642799999999999,-1.1532,-7.3618,relPos,-59.92608857014601,26.565,21.5713,291.278
-4.642799999999999,-1.1532,-7.3618,relPos,-59.71336492460764,26.565,21.5713,291.278
-4.642799999999999,-1.1532,-7.3618,relPos,-60.212161710182876,26.565,21.5713,291.278
-4.642799999999999,-1.1532,-7.3618,relPos,-60.35843701962627,26.565,21.5713,291.278
-4.642799999999999,-1.1532,-7.3618,relPos,-59.98165634774428,26.565,21.5713,291.278
-4.642799999999999,-1.1532,-7.3618,relPos,-59.94796887650167,27.2451,21.4074,291.666
-74.0828302,4.6392573,2588231,absPos,-60.197099859787606,27.2451,21.4074,291.666
-74.0828302,4.6392573,2588231,absPos,-60.10233583011071,27.2451,21.4074,291.666
-74.0828302,4.6392573,2588231,absPos,-60.23269040227387,27.2451,21.4074,291.666
-74.0828302,4.6392573,2588231,absPos,-60.0250523150364,27.2451,21.4074,291.666
-74.0828302,4.6392573,2588231,absPos,-60.083590400660924,27.2451,21.4074,291.136
-74.0828302,4.6392573,2588231,absPos,-59.91832873933419,27.2451,21.4074,291.136
-74.0828302,4.6392573,2588231,absPos,-59.904211693576805,27.2451,21.4074,291.136
-74.0828302,4.6392573,2588231,absPos,-59.90876391076839,28.2497,22.5963,291.136
-4.6426,-1.1773,-7.3563,relPos,-60.196903533586095,28.2497,22.5963,291.136
-4.6426,-1.1773,-7.3563,relPos,-60.20775675737016,28.2497,22.5963,291.51
-4.6426,-1.1773,-7.3563,relPos,-60.13135934588142,28.2497,22.5963,291.51
-4.6426,-1.1773,-7.3563,relPos,-60.072309377169645,28.2497,22.5963,291.51
-4.6426,-1.1773,-7.3563,relPos,-60.0050250727426,28.2497,22.5963,291.51
-4.6426,-1.1773,-7.3563,relPos,-59.96863628160299,28.2497,22.5963,291.51
-4.6426,-1.1773,-7.3563,relPos,-60.18672675440118,28.2497,22.5963,291.51
-4.6426,-1.1773,-7.3563,relPos,-59.90821278821515,27.582,22.0294,291.763
-4.6426,-1.1773,-7.3563,relPos,-60.12842908427747,27.582,22.0294,291.763
-4.6426,-1.1773,-7.3563,relPos,-59.84180523708466,27.582,22.0294,291.763
-74.0828304,4.6392572,2588203,absPos,-60.06783330690014,27.582,22.0294,291.763
-74.0828304,4.6392572,2588203,absPos,-59.94860344018113,27.582,22.0294,291.763
-74.0828304,4.6392572,2588203,absPos,-60.103033487260795,27.582,22.0294,291.763
-74.0828304,4.6392572,2588203,absPos,-60.10603772636506,27.582,22.0294,291.43
-74.0828304,4.6392572,2588203,absPos,-60.10589606571881,27.582,22.0294,291.43
-74.0828304,4.6392572,2588203,absPos,-60.12439272088136,27.582,22.0294,291.43
-74.0828304,4.6392572,2588203,absPos,-59.92699212233493,26.565,21.2826,291.43
-4.6524,-1.202,-7.3285,relPos,-60.32999139251531,26.565,21.2826,291.43
-4.6524,-1.202,-7.3285,relPos,-59.84595859308367,26.565,21.2826,291.587
-4.6524,-1.202,-7.3285,relPos,-60.11500272812505,26.565,21.2826,291.587
-4.6524,-1.202,-7.3285,relPos,-59.93048886224888,26.565,21.2826,291.587
-4.6524,-1.202,-7.3285,relPos,-59.94014066847512,26.565,21.2826,291.587
-4.6524,-1.202,-7.3285,relPos,-60.05466269838151,26.565,21.2826,291.587
-4.6524,-1.202,-7.3285,relPos,-60.12519556457136,26.565,21.2826,291.587
-4.6524,-1.202,-7.3285,relPos,-60.07580519224995,28.6983,22.9638,291.84
-4.6524,-1.202,-7.3285,relPos,-59.94422345531824,28.6983,22.9638,291.84
-4.6524,-1.202,-7.3285,relPos,-60.00905090829261,28.6983,22.9638,291.84
-74.0828307,4.6392572,2588195,absPos,-60.13298844188305,28.6983,22.9638,291.84
-74.0828307,4.6392572,2588195,absPos,-60.02441672377296,28.6983,22.9638,291.84
-74.0828307,4.6392572,2588195,absPos,-60.079575048233266,28.6983,22.9638,291.84
-74.0828307,4.6392572,2588195,absPos,-59.886320031749946,28.6983,22.9638,291.551
-74.0828307,4.6392572,2588195,absPos,-60.061708886575886,28.6983,22.9638,291.551
-74.0828307,4.6392572,2588195,absPos,-60.18234718952197,28.6983,22.9638,291.551
-4.6532,-1.2343000000000002,-7.3211,relPos,-60.02266932727555,28.2497,22.3637,291.551
-4.6532,-1.2343000000000002,-7.3211,relPos,-60.070994270531884,28.2497,22.3637,291.551
-4.6532,-1.2343000000000002,-7.3211,relPos,-60.214879586189824,28.2497,22.3637,291.607
-4.6532,-1.2343000000000002,-7.3211,relPos,-59.96767562944258,28.2497,22.3637,291.607
-4.6532,-1.2343000000000002,-7.3211,relPos,-60.029037120882904,28.2497,22.3637,291.607
-4.6532,-1.2343000000000002,-7.3211,relPos,-60.09557676285005,28.2497,22.3637,291.607
-4.6532,-1.2343000000000002,-7.3211,relPos,-60.00165489615042,28.2497,22.3637,291.607
-4.6532,-1.2343000000000002,-7.3211,relPos,-60.19646958084162,28.2497,22.3637,291.646
-4.6532,-1.2343000000000002,-7.3211,relPos,-59.995741407683816,28.0725,22.3637,291.646
-4.6532,-1.2343000000000002,-7.3211,relPos,-60.04038555834403,28.0725,22.3637,291.646
-4.6532,-1.2343000000000002,-7.3211,relPos,-60.02218296129773,28.0725,22.3637,291.646
-74.0828308,4.6392568,2588113,absPos,-60.077252429941296,28.0725,22.3637,291.646
-74.0828308,4.6392568,2588113,absPos,-60.182203339621864,28.0725,22.3637,291.646
-74.0828308,4.6392568,2588113,absPos,-60.09603103634369,28.0725,22.3637,291.316
-74.0828308,4.6392568,2588113,absPos,-59.937667224786814,28.0725,22.3637,291.316
-74.0828308,4.6392568,2588113,absPos,-59.87948528401381,28.0725,22.3637,291.316
-74.0828308,4.6392568,2588113,absPos,-59.78536419748856,28.9797,22.249,291.316
-74.0828308,4.6392568,2588113,absPos,-60.28420384256802,28.9797,22.249,291.316
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-60.014952833173254,28.9797,22.249,291.589
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-59.94483766703753,28.9797,22.249,291.589
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-60.10822393357871,28.9797,22.249,291.589
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-60.13378301090568,28.9797,22.249,291.589
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-60.158745004211774,28.9797,22.249,291.589
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-60.24768855493518,28.9797,22.249,291.589
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-60.01099082305399,26.9011,21.8588,291.413
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-60.0211111632688,26.9011,21.8588,291.413
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-59.91753386778499,26.9011,21.8588,291.413
-4.6983999999999995,-1.2465000000000002,-7.2389,relPos,-59.75881763904422,26.9011,21.8588,291.413
-74.0828311,4.6392566,2588082,absPos,-60.08267412062331,26.9011,21.8588,291.413
-74.0828311,4.6392566,2588082,absPos,-60.07068312035179,26.9011,21.8588,291.685
-74.0828311,4.6392566,2588082,absPos,-60.08942288644403,26.9011,21.8588,291.685
-74.0828311,4.6392566,2588082,absPos,-59.96192565721425,26.9011,21.8588,291.685
-74.0828311,4.6392566,2588082,absPos,-60.07918283070882,27.2351,21.9149,291.685
-74.0828311,4.6392566,2588082,absPos,-60.04765818662398,27.2351,21.9149,291.685
-74.0828311,4.6392566,2588082,absPos,-60.08519128774108,27.2351,21.9149,291.685
-4.7195,-1.2742,-7.2074,relPos,-60.01402150859746,27.2351,21.9149,291.704
-4.7195,-1.2742,-7.2074,relPos,-60.072680891637226,27.2351,21.9149,291.704
-4.7195,-1.2742,-7.2074,relPos,-60.161962288930724,27.2351,21.9149,291.704
-4.7195,-1.2742,-7.2074,relPos,-59.93933236166713,27.2351,21.9149,291.704
-4.7195,-1.2742,-7.2074,relPos,-59.899500209808394,27.2351,21.9149,291.704
-4.7195,-1.2742,-7.2074,relPos,-60.1297620191523,29.0911,23.0394,291.49
-4.7195,-1.2742,-7.2074,relPos,-60.07124490064661,29.0911,23.0394,291.49
-4.7195,-1.2742,-7.2074,relPos,-60.05117386184044,29.0911,23.0394,291.49
-4.7195,-1.2742,-7.2074,relPos,-60.08258385563907,29.0911,23.0394,291.49
-4.7195,-1.2742,-7.2074,relPos,-60.211902490656925,29.0911,23.0394,291.49
-74.0828313,4.6392564,2588038,absPos,-60.12622251888359,29.0911,23.0394,291.49
-74.0828313,4.6392564,2588038,absPos,-60.0497852295931,29.0911,23.0394,291.607
-74.0828313,4.6392564,2588038,absPos,-60.05163350700247,29.0911,23.0394,291.607
-74.0828313,4.6392564,2588038,absPos,-60.13269318055261,29.0911,23.0394,291.607
-74.0828313,4.6392564,2588038,absPos,-59.99188589086945,26.061,21.1705,291.607
-74.0828313,4.6392564,2588038,absPos,-60.06332176599268,26.061,21.1705,291.607
-74.0828313,4.6392564,2588038,absPos,-60.18563386452102,26.061,21.1705,291.531
-74.0828313,4.6392564,2588038,absPos,-60.278019452947916,26.061,21.1705,291.531
-74.0828313,4.6392564,2588038,absPos,-60.1606504965602,26.061,21.1705,291.531
-4.7402,-1.3012000000000001,-7.1637,relPos,-60.048866378999186,26.061,21.1705,291.531
-4.7402,-1.3012000000000001,-7.1637,relPos,-60.174579037814254,26.061,21.1705,291.531
-4.7402,-1.3012000000000001,-7.1637,relPos,-60.3040284563724,26.061,21.1705,291.531
-4.7402,-1.3012000000000001,-7.1637,relPos,-60.1847888591269,26.7346,21.2347,291.51
-4.7402,-1.3012000000000001,-7.1637,relPos,-59.892154020352265,26.7346,21.2347,291.51
-4.7402,-1.3012000000000001,-7.1637,relPos,-60.14855496202273,26.7346,21.2347,291.51
-4.7402,-1.3012000000000001,-7.1637,relPos,-60.06610846209149,26.7346,21.2347,291.51
-4.7402,-1.3012000000000001,-7.1637,relPos,-60.050174801025165,26.7346,21.2347,291.51
-4.7402,-1.3012000000000001,-7.1637,relPos,-60.028460894247075,26.7346,21.2347,291.665
-4.7402,-1.3012000000000001,-7.1637,relPos,-59.92112087538344,26.7346,21.2347,291.665
-74.0828316,4.6392561,2587952,absPos,-60.2096531149386,26.7346,21.2347,291.665
-74.0828316,4.6392561,2587952,absPos,-60.16156256022006,26.9011,21.6309,291.665
-74.0828316,4.6392561,2587952,absPos,-59.907826379406785,26.9011,21.6309,291.665
-74.0828316,4.6392561,2587952,absPos,-59.88589679047804,26.9011,21.6309,291.665
-74.0828316,4.6392561,2587952,absPos,-60.02082341069297,26.9011,21.6309,291.375
-4.774,-1.3397999999999999,-7.0779,relPos,-59.88331915590639,26.9011,21.6309,291.375
-4.774,-1.3397999999999999,-7.0779,relPos,-60.11625008936332,26.9011,21.6309,291.375
-4.774,-1.3397999999999999,-7.0779,relPos,-59.87475256401055,26.9011,21.6309,291.375
-4.774,-1.3397999999999999,-7.0779,relPos,-60.05555277065531,26.9011,21.6309,291.375
-4.774,-1.3397999999999999,-7.0779,relPos,-60.13328372328863,26.9011,21.6309,291.451
-4.774,-1.3397999999999999,-7.0779,relPos,-60.21583424461879,27.7411,22.0831,291.451
-4.774,-1.3397999999999999,-7.0779,relPos,-59.95788457300083,27.7411,22.0831,291.451
-4.774,-1.3397999999999999,-7.0779,relPos,-60.11175923815,27.7411,22.0831,291.451
-4.774,-1.3397999999999999,-7.0779,relPos,-60.141193149440056,27.7411,22.0831,291.451
-74.0828317,4.639256,2587882,absPos,-60.09536478481334,27.7411,22.0831,291.607
-74.0828317,4.639256,2587882,absPos,-59.895729156207025,27.7411,22.0831,291.607
-74.0828317,4.639256,2587882,absPos,-60.00339416499078,27.7411,22.0831,291.607
-74.0828317,4.639256,2587882,absPos,-60.08616821944125,27.7411,22.0831,291.607
-74.0828317,4.639256,2587882,absPos,-60.02275866572333,27.0721,21.5186,291.607
-74.0828317,4.639256,2587882,absPos,-60.019037476584714,27.0721,21.5186,291.607
-74.0828317,4.639256,2587882,absPos,-59.89758051759792,27.0721,21.5186,291.531
-74.0828317,4.639256,2587882,absPos,-60.256751722131966,27.0721,21.5186,291.531
