Dist_N,Dist_E,Dist_D,PowerRx,XZ,YZ,MAG
0.0,0.0,0.0,-60.02362236547927,357.241,251.565,223.574
0.0,0.0,0.0,-59.71290274808447,357.46,259.695,223.822
0.0,0.0,0.0,-59.98482406581614,357.23,243.435,224.117
0.0,0.0,0.0,-60.00344357744044,357.23,243.435,224.032
0.0,0.0,0.0,-59.91387297826538,357.23,251.565,224.032
0.0,0.0,0.0,-59.73967175256405,357.023,261.254,224.033
0.0,0.0,0.0,-60.012783354360636,357.023,261.254,224.033
0.0,0.0,0.0,-60.02695964713118,357.023,261.254,224.076
0.0,0.0,0.0,-59.852731194482416,356.807,257.905,224.076
0.0,0.0,0.0,-60.04509251690135,357.219,265.236,223.87
0.0,0.0,0.0,-59.83481197870177,357.241,255.964,223.955
0.0,0.0,0.0,-59.80541198394722,356.999,252.897,223.867
0.0,0.0,0.0,-59.97481759527748,357.913,246.038,223.949
0.0,0.0,0.0,-59.826786089404024,356.58,258.69,223.864
0.0,0.0,0.0,-59.97344334581953,357.46,241.39,224.076
0.0,0.0,0.0,-59.80076868983755,356.987,252.897,223.869
0.0,0.0,0.0,-59.79705379716577,357.219,255.964,224.08
0.0,0.0,0.0,-59.93141246666517,357.241,243.435,223.781
0.0,0.0,0.0,-59.99960065889118,357.219,247.38,224.282
0.0,0.0,0.0,-60.00424413746006,357.219,247.38,224.282
0.0,0.0,0.0,-59.98534563130559,357.23,239.744,223.948
0.0,0.0,0.0,-59.752059523402366,357.913,251.565,223.916
0.0,0.0,0.0,-59.93071268389229,357.252,251.565,224.033
0.0,0.0,0.0,-60.000509143993774,356.756,257.905,224.208
0.0,0.0,0.0,-59.94367786686955,357.219,260.538,223.824
0.0,0.0,0.0,-59.91034061624375,357.219,260.538,223.824
0.0,0.0,0.0,-60.0337420519343,356.975,257.005,224.035
0.0,0.0,0.0,-59.79505609905881,356.975,257.005,224.035
0.0,0.0,0.0,-59.952635893570914,356.999,257.005,224.159
0.0,0.0,0.0,-59.954149830934576,356.975,252.897,224.08
0.0,0.0,0.0,-59.878044853683896,356.975,252.897,223.827
0.0,0.0,0.0,-60.09213592271499,356.987,257.005,223.742
0.0,0.0,0.0,-60.0504245446836,357.719,243.435,223.911
0.0,0.0,0.0,-60.074217805584254,357.46,254.745,224.119
0.0,0.0,0.0,-60.163971739198814,357.46,254.745,224.119
0.0,0.0,0.0,-59.9094507968016,357.47,254.745,224.37
0.0,0.0,0.0,-60.111211821426316,357.241,243.435,223.906
0.0,0.0,0.0,-60.219405697467714,357.46,250.017,224.536
0.0,0.0,0.0,-60.13460764532961,357.207,251.565,223.993
0.0,0.0,0.0,-60.21814912481625,356.987,245.225,223.778
0.0,0.0,0.0,-60.0859869165394,357.241,260.538,223.995
0.0,0.0,0.0,-59.77203784056313,357.7,243.435,223.995
0.0,0.0,0.0,-60.121030202843706,357.7,243.435,223.716
0.0,0.0,0.0,-59.968028497381205,356.987,261.254,223.952
0.0,0.0,0.0,-59.99257588535805,356.987,261.254,223.736
0.0,0.0,0.0,-59.96431471323059,357.47,250.017,223.864
0.0,0.0,0.0,-59.97841233178878,357.252,247.38,223.744
0.0,0.0,0.0,-60.23529606441123,357.252,247.38,224.418
0.0,0.0,0.0,-59.93875787359438,357.219,243.435,224.033
0.0,0.0,0.0,-59.95869634044655,357.682,243.435,223.906
0.0,0.0,0.0,-59.95650558859545,357.184,239.744,223.906
0.0,0.0,0.0,-59.99220099528793,357.184,239.744,224.12
0.0,0.0,0.0,-60.04809749041752,357.184,239.744,224.035
0.0,0.0,0.0,-60.06162875911835,357.47,245.556,223.995
0.0,0.0,0.0,-59.923477881445606,357.47,245.556,223.993
0.0,0.0,0.0,-59.98906760109805,356.987,248.963,223.781
0.0,0.0,0.0,-59.8099751792859,356.963,241.699,224.079
0.0,0.0,0.0,-59.99829720365847,358.174,255.964,224.033
0.0,0.0,0.0,-60.16501816200122,357.44,245.556,224.158
0.0,0.0,0.0,-60.19409361885843,357.44,245.556,224.158
0.0,0.0,0.0,-59.947061559679554,357.913,251.565,223.744
0.0,0.0,0.0,-60.072992498800694,357.219,247.38,224.198
0.0,0.0,0.0,-60.02982252751921,357.23,247.38,223.908
0.0,0.0,0.0,-60.03970785742206,356.539,255.069,223.785
0.0,0.0,0.0,-59.63114973492203,356.729,261.87,224.038
0.0,0.0,0.0,-59.75480274625401,356.729,261.87,224.038
0.0,0.0,0.0,-60.085845908403826,356.782,261.87,223.996
0.0,0.0,0.0,-60.05618293209928,356.782,261.87,223.749
0.0,0.0,0.0,-60.085473266082936,357.011,257.005,223.991
0.0,0.0,0.0,-59.88961117775676,357.719,264.289,224.033
0.0,0.0,0.0,-60.038900734016956,357.23,251.565,223.952
0.0,0.0,0.0,-60.01497265075979,357.45,241.39,223.992
0.0,0.0,0.0,-59.67708389067403,,,
0.0,0.0,0.0,-59.96102490084575,357.5,250.017,223.996
0.0,0.0,0.0,-59.99637281582636,357.922,240.945,223.906
0.0,0.0,0.0,-60.3103030508408,357.682,248.199,223.949
0.0,0.0,0.0,-59.76934926019051,357.23,251.565,224.08
0.0,0.0,0.0,-60.01189210183227,357.47,264.806,224.158
0.0,0.0,0.0,-59.85516597336609,357.691,253.301,223.819
0.0,0.0,0.0,-60.10699911711668,357.44,241.39,223.867
0.0,0.0,0.0,-59.91880361202074,357.905,240.945,223.864
0.0,0.0,0.0,-60.12304143312946,357.905,240.945,224.073
0.0,0.0,0.0,-59.919443318537716,357.481,254.745,223.785
0.0,0.0,0.0,-60.138133919699754,357.481,254.745,223.869
0.0,0.0,0.0,-60.16241330908543,357.481,254.745,223.869
0.0,0.0,0.0,-60.065426735608156,357.241,251.565,223.658
0.0,0.0,0.0,-60.08806228001583,357.241,251.565,223.658
0.0,0.0,0.0,-60.158027779886936,357.241,251.565,224.198
0.0,0.0,0.0,-60.27726120808386,357.023,252.897,223.87
0.0,0.0,0.0,-59.91610013602104,357.241,255.964,223.908
0.0,0.0,0.0,-60.24831552916937,356.553,255.069,223.902
0.0,0.0,0.0,-60.02329473500672,357.023,261.254,223.822
0.0,0.0,0.0,-60.10018258373282,357.47,245.556,223.654
0.0,0.0,0.0,-59.90293715484603,357.23,251.565,224.198
