R_N/Lon,R_E/Lat,R_D/Hgt,PosType,PowerRx,XZ,YZ,MAG
-1.7597,2.3463,1.1379000000000001,relPos,-16.175316134417926,85.9528,91.351,163.529
-1.7597,2.3463,1.1379000000000001,relPos,-16.1978911684965,85.9528,91.351,163.529
-1.7597,2.3463,1.1379000000000001,relPos,-16.18312412801553,85.9528,91.351,163.529
-1.7597,2.3463,1.1379000000000001,relPos,-16.206153974953118,85.9528,91.351,163.529
-1.7597,2.3463,1.1379000000000001,relPos,-16.212077877591323,85.9528,91.351,163.529
-1.7728,2.3479,1.1929,relPos,-16.25760288600659,85.9528,91.351,163.529
-1.7728,2.3479,1.1929,relPos,-16.28999058525125,85.9528,91.351,163.529
-1.7728,2.3479,1.1929,relPos,-16.341620002971577,85.9528,91.351,163.529
-1.7728,2.3479,1.1929,relPos,-16.325632275538048,85.9528,91.351,162.329
-1.7728,2.3479,1.1929,relPos,-16.406069692955935,85.4367,91.3447,162.329
-1.7728,2.3479,1.1929,relPos,-16.4085929729814,85.4367,91.3447,162.329
-1.7728,2.3479,1.1929,relPos,-16.46165651703971,85.4367,91.3447,162.329
-1.7728,2.3479,1.1929,relPos,-16.443811965858654,85.4367,91.3447,162.329
-1.7728,2.3479,1.1929,relPos,-16.47126768950275,85.4367,91.3447,163.022
-1.7728,2.3479,1.1929,relPos,-16.546341470858277,85.4367,91.3447,163.093
-1.7728,2.3479,1.1929,relPos,-16.561435527546525,85.4367,91.3447,163.093
-1.7728,2.3479,1.1929,relPos,-16.577277362275705,85.4367,91.3447,163.093
-1.7728,2.3479,1.1929,relPos,-16.658430707620585,85.2143,91.0658,163.093
-1.7728,2.3479,1.1929,relPos,-16.66230046091562,85.2143,91.0658,163.093
-1.7728,2.3479,1.1929,relPos,-16.75844702187841,85.2143,91.0658,162.933
-1.7728,2.3479,1.1929,relPos,-16.75184443316114,85.2143,91.0658,162.933
-1.7728,2.3479,1.1929,relPos,-16.790936137743582,85.2143,91.0658,162.933
-1.7761000000000002,2.3478,1.2341,relPos,-16.87805785691538,85.2143,91.0658,162.933
-1.7761000000000002,2.3478,1.2341,relPos,-16.8856652476357,85.2143,91.0658,162.933
-1.7761000000000002,2.3478,1.2341,relPos,-16.898996590610484,85.2363,91.0609,163.003
-1.7761000000000002,2.3478,1.2341,relPos,-16.884003553818843,85.4998,90.7957,163.003
-1.7761000000000002,2.3478,1.2341,relPos,-16.913475687240435,85.4998,90.7957,163.003
-1.7761000000000002,2.3478,1.2341,relPos,-16.93103886420738,85.4998,90.7957,163.003
-1.7761000000000002,2.3478,1.2341,relPos,-16.936242491854724,85.4998,90.7957,163.003
-1.7761000000000002,2.3478,1.2341,relPos,-16.884008981542923,85.4998,90.7957,161.719
-1.7761000000000002,2.3478,1.2341,relPos,-16.915873356164056,85.4998,90.7957,161.719
-1.7761000000000002,2.3478,1.2341,relPos,-16.919296986773148,85.4998,90.7957,161.719
-1.7761000000000002,2.3478,1.2341,relPos,-16.910710942786583,85.7636,91.8561,161.719
-1.7761000000000002,2.3478,1.2341,relPos,-16.938604298020618,85.7636,91.8561,161.719
-1.7761000000000002,2.3478,1.2341,relPos,-17.02137572952634,85.7636,91.8561,161.719
-1.7761000000000002,2.3478,1.2341,relPos,-16.94464353166509,85.7636,91.8561,161.95
-1.7761000000000002,2.3478,1.2341,relPos,-16.987670386376177,85.7636,91.8561,161.95
-1.7761000000000002,2.3478,1.2341,relPos,-17.045818318186203,85.7636,91.8561,161.95
-1.7761000000000002,2.3478,1.2341,relPos,-17.051524975644952,85.7636,91.8561,161.95
-1.7761000000000002,2.3478,1.2341,relPos,-17.100136540894436,85.7636,91.8561,161.95
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.135389946725837,85.7636,91.8561,161.87
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.12100945598385,84.5596,90.5457,161.87
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.150382690494087,84.5596,90.5457,161.87
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.142170375451393,84.5596,90.5457,161.87
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.13520983430424,84.5596,90.5457,161.87
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.116914978832046,84.5596,90.5457,161.87
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.097893627684606,84.5596,90.5457,161.794
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.096732444600132,84.5596,90.5457,161.794
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.024899892588646,84.5596,90.5457,161.794
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.024276574500284,84.9497,90.2664,161.794
-1.7761000000000002,2.3453999999999997,1.2663,relPos,-17.013979554194847,84.9497,90.2664,161.794
