R_N/Lon,R_E/Lat,R_D/Hgt,PosType,PowerRx,XZ,YZ,MAG
-74.0816308,4.6395296,2593808,absPos,-15.273199184539477,86.2027,95.0572,151.049
-74.0816308,4.6395296,2593808,absPos,-15.484635866527368,86.2027,95.0572,152.682
-3.1362,4.2318999999999996,-0.6294,relPos,-15.48836307581588,86.2027,95.0572,152.682
-3.1362,4.2318999999999996,-0.6294,relPos,-15.316753647790577,86.2027,95.0572,152.682
-3.1362,4.2318999999999996,-0.6294,relPos,-15.386519993180936,86.2027,95.0572,152.682
-3.1362,4.2318999999999996,-0.6294,relPos,-15.384314360676846,86.2027,95.0572,152.682
-3.1362,4.2318999999999996,-0.6294,relPos,-15.330584006029028,86.2027,95.0572,151.728
-3.1362,4.2318999999999996,-0.6294,relPos,-15.39942047542451,81.4897,94.3827,151.728
-3.1362,4.2318999999999996,-0.6294,relPos,-15.485535096940437,81.4897,94.3827,151.728
-3.1362,4.2318999999999996,-0.6294,relPos,-15.491610045718138,81.4897,94.3827,151.728
-3.1362,4.2318999999999996,-0.6294,relPos,-15.366320191524956,81.4897,94.3827,151.728
-74.0816308,4.6395297,2593820,absPos,-15.450353343443258,81.4897,94.3827,151.927
-74.0816308,4.6395297,2593820,absPos,-15.5678111444259,81.4897,94.3827,151.927
-74.0816308,4.6395297,2593820,absPos,-15.540934480225348,81.4897,94.3827,151.927
-74.0816308,4.6395297,2593820,absPos,-15.446041637044782,81.4897,94.3827,151.927
-74.0816308,4.6395297,2593820,absPos,-15.526825012558437,77.9416,91.596,151.927
-74.0816308,4.6395297,2593820,absPos,-15.557556376874729,77.9416,91.596,152.003
-74.0816308,4.6395297,2593820,absPos,-15.580061350580012,77.9416,91.596,152.003
-74.0816308,4.6395297,2593820,absPos,-15.559382939600404,77.9416,91.596,152.003
-3.1245,4.2394,-0.6422,relPos,-15.53790196540376,77.9416,91.596,152.003
-3.1245,4.2394,-0.6422,relPos,-15.605224962630494,77.9416,91.596,152.003
-3.1245,4.2394,-0.6422,relPos,-15.724607844199172,77.9416,91.596,152.003
-3.1245,4.2394,-0.6422,relPos,-15.743367027326492,77.9416,91.596,152.222
-3.1245,4.2394,-0.6422,relPos,-15.791067588952266,77.9416,91.596,152.222
-3.1245,4.2394,-0.6422,relPos,-15.846506193189871,79.1552,90.878,152.222
-3.1245,4.2394,-0.6422,relPos,-15.81047852817498,79.1552,90.878,152.222
-3.1245,4.2394,-0.6422,relPos,-15.909518615755172,79.1552,90.878,152.222
-3.1245,4.2394,-0.6422,relPos,-15.882088060678152,79.1552,90.878,151.207
-3.1245,4.2394,-0.6422,relPos,-15.85042946556304,79.1552,90.878,151.207
-74.0816307,4.6395298,2593798,absPos,-15.879901348901878,79.1552,90.878,151.207
-74.0816307,4.6395298,2593798,absPos,-15.883073086872965,79.1552,90.878,151.207
-74.0816307,4.6395298,2593798,absPos,-15.8027388210205,79.1552,90.878,151.207
-74.0816307,4.6395298,2593798,absPos,-15.914429066856897,83.6263,90.6095,151.207
-74.0816307,4.6395298,2593798,absPos,-15.87300297760347,83.6263,90.6095,151.189
-74.0816307,4.6395298,2593798,absPos,-15.851729841098589,83.6263,90.6095,151.189
-74.0816307,4.6395298,2593798,absPos,-15.87613485964823,83.6263,90.6095,151.189
-74.0816307,4.6395298,2593798,absPos,-15.752636011582904,83.6263,90.6095,151.189
-3.1058999999999997,4.2454,-0.6197,relPos,-15.769075967717503,83.6263,90.6095,151.189
-3.1058999999999997,4.2454,-0.6197,relPos,-15.763421963542065,83.6263,90.6095,150.619
-3.1058999999999997,4.2454,-0.6197,relPos,-15.720571955008198,83.6263,90.6095,150.619
-3.1058999999999997,4.2454,-0.6197,relPos,-15.704026193490531,88.4234,92.6264,150.619
-3.1058999999999997,4.2454,-0.6197,relPos,-15.59459262462346,88.4234,92.6264,150.619
-3.1058999999999997,4.2454,-0.6197,relPos,-15.623991601936948,88.4234,92.6264,150.619
-3.1058999999999997,4.2454,-0.6197,relPos,-15.52622579424473,88.4234,92.6264,149.864
-3.1058999999999997,4.2454,-0.6197,relPos,-15.538881436019132,88.4234,92.6264,149.864
-3.1058999999999997,4.2454,-0.6197,relPos,-15.482040048265066,88.4234,92.6264,149.864
-74.0816308,4.6395297,2593792,absPos,-15.406237970447322,88.4234,92.6264,149.864
-74.0816308,4.6395297,2593792,absPos,-15.415497232164583,88.4234,92.6264,149.864
-74.0816308,4.6395297,2593792,absPos,-15.411356014939525,79.8085,86.4637,149.864
-74.0816308,4.6395297,2593792,absPos,-15.44947590712365,79.8085,86.4637,149.545
-74.0816308,4.6395297,2593792,absPos,-15.492546179340456,79.8085,86.4637,149.545
-74.0816308,4.6395297,2593792,absPos,-15.593440678163082,79.8085,86.4637,149.545
-74.0816308,4.6395297,2593792,absPos,-15.552865671752727,79.8085,86.4637,149.545
-74.0816308,4.6395297,2593792,absPos,-15.562235047858273,79.8085,86.4637,149.545
-3.1179,4.2335,-0.6136,relPos,-15.631504751472887,79.8085,86.4637,150.282
-3.1179,4.2335,-0.6136,relPos,-15.617110603054641,86.9872,90.0,150.282
-3.1179,4.2335,-0.6136,relPos,-15.715396161499818,86.9872,90.0,150.282
-3.1179,4.2335,-0.6136,relPos,-15.563071133477624,86.9872,90.0,150.282
-3.1179,4.2335,-0.6136,relPos,-15.567426695367523,86.9872,90.0,150.282
-3.1179,4.2335,-0.6136,relPos,-15.59297807910663,86.9872,90.0,150.282
-3.1179,4.2335,-0.6136,relPos,-15.590394735342393,86.9872,90.0,149.774
-3.1179,4.2335,-0.6136,relPos,-15.340567435847568,86.9872,90.0,149.774
-3.1179,4.2335,-0.6136,relPos,-15.313086244022804,86.9872,90.0,149.774
-3.1179,4.2335,-0.6136,relPos,-15.289277341095813,86.9872,90.0,149.774
-3.1179,4.2335,-0.6136,relPos,-15.189313287615096,86.9872,90.0,149.774
-74.0816307,4.6395296,2593811,absPos,-15.130434954107944,85.2363,91.0609,149.774
-74.0816307,4.6395296,2593811,absPos,-15.184276041948081,85.2363,91.0609,150.841
-74.0816307,4.6395296,2593811,absPos,-15.019724087801688,85.2363,91.0609,150.841
-74.0816307,4.6395296,2593811,absPos,-14.904603335725653,85.2363,91.0609,150.841
-74.0816307,4.6395296,2593811,absPos,-15.012241391997318,85.2363,91.0609,150.841
-74.0816307,4.6395296,2593811,absPos,-14.89614029832374,85.2363,91.0609,150.841
-74.0816307,4.6395296,2593811,absPos,-14.876092255986153,85.2363,91.0609,151.612
-3.1348000000000003,4.2416,-0.6332,relPos,-14.89380158348333,85.2363,91.0609,151.612
