lon,lat,height
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
-74.0827278,4.6388707,2589131
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
-74.0827279,4.6388709,2589135
