R_N/Lon,R_E/Lat,R_D/Hgt,PosType,PowerRx,XZ,YZ,MAG
-6.9321,-8.337200000000001,-2.964,relPos,-27.354105307482154,87.625,89.4719,240.197
-6.9321,-8.337200000000001,-2.964,relPos,-27.327007050644603,87.625,89.4719,239.607
-6.9321,-8.337200000000001,-2.964,relPos,-27.35298549999468,87.6467,90.0,239.607
-6.9321,-8.337200000000001,-2.964,relPos,-27.334839500891977,87.6467,90.0,239.607
-6.9321,-8.337200000000001,-2.964,relPos,-27.334179244349606,87.6467,90.0,239.607
-6.9321,-8.337200000000001,-2.964,relPos,-27.352809257119027,87.6467,90.0,239.607
-6.9321,-8.337200000000001,-2.964,relPos,-27.33914663062142,87.6467,90.0,239.607
-6.9321,-8.337200000000001,-2.964,relPos,-27.336576831393856,87.6467,90.0,239.687
-6.9321,-8.337200000000001,-2.964,relPos,-27.365408527721016,87.6467,90.0,239.687
-6.9321,-8.337200000000001,-2.964,relPos,-27.351920593526753,87.6467,90.0,239.687
-6.9321,-8.337200000000001,-2.964,relPos,-27.364401540903547,87.6467,90.0,239.687
-6.9238,-8.3401,-2.9886,relPos,-27.355108190850043,87.6467,90.0,239.687
-6.9238,-8.3401,-2.9886,relPos,-27.36522109955811,88.1438,90.0,239.687
-6.9238,-8.3401,-2.9886,relPos,-27.371134495809102,88.1438,90.0,239.744
-6.9238,-8.3401,-2.9886,relPos,-27.386853812035483,88.1438,90.0,239.744
-6.9238,-8.3401,-2.9886,relPos,-27.38187793413853,88.1438,90.0,239.744
-6.9238,-8.3401,-2.9886,relPos,-27.380982265762196,88.1438,90.0,239.744
-6.9238,-8.3401,-2.9886,relPos,-27.382067120160958,88.1438,90.0,239.744
-6.9238,-8.3401,-2.9886,relPos,-27.392330438294685,88.1438,90.0,239.744
-6.9238,-8.3401,-2.9886,relPos,-27.402968024172786,88.1438,90.0,239.687
-6.9238,-8.3401,-2.9886,relPos,-27.40516640559597,88.1438,90.0,239.687
-6.9238,-8.3401,-2.9886,relPos,-27.438331726479987,87.8886,90.0,239.687
-6.9238,-8.3401,-2.9886,relPos,-27.430543489712793,87.8886,90.0,239.687
-6.9238,-8.3401,-2.9886,relPos,-27.47094871992491,87.8886,90.0,239.687
-6.9238,-8.3401,-2.9886,relPos,-27.486570736755684,87.8886,90.0,239.687
-6.9238,-8.3401,-2.9886,relPos,-27.50496871678355,87.8886,90.0,239.334
-6.9238,-8.3401,-2.9886,relPos,-27.51230217241311,87.8886,90.0,239.334
-6.9238,-8.3401,-2.9886,relPos,-27.528203411246555,87.8886,90.0,239.334
-6.9238,-8.3401,-2.9886,relPos,-27.57189792740295,87.8886,90.0,239.334
-6.919,-8.3386,-2.9913,relPos,-27.5519011490549,87.8886,90.0,239.334
-6.919,-8.3386,-2.9913,relPos,-27.599275402921233,87.8789,89.4695,239.334
-6.919,-8.3386,-2.9913,relPos,-27.648280340744535,87.8789,89.4695,239.334
-6.919,-8.3386,-2.9913,relPos,-27.643607499295314,87.8789,89.4695,239.334
-6.919,-8.3386,-2.9913,relPos,-27.68470881119449,87.8789,89.4695,239.334
-6.919,-8.3386,-2.9913,relPos,-27.675542663146846,87.8789,89.4695,239.334
-6.919,-8.3386,-2.9913,relPos,-27.691280445712568,87.8789,89.4695,239.334
-6.919,-8.3386,-2.9913,relPos,-27.70428748145775,87.8789,89.4695,239.334
-6.919,-8.3386,-2.9913,relPos,-27.70260110196616,87.8789,89.4695,239.55
-6.919,-8.3386,-2.9913,relPos,-27.732488142361426,87.625,90.0,239.55
-6.919,-8.3386,-2.9913,relPos,-27.72177678834514,87.625,90.0,239.55
-6.919,-8.3386,-2.9913,relPos,-27.69871092412949,87.625,90.0,239.55
-6.919,-8.3386,-2.9913,relPos,-27.69928537326202,87.625,90.0,239.55
-6.919,-8.3386,-2.9913,relPos,-27.701551914470596,87.625,90.0,239.55
-6.919,-8.3386,-2.9913,relPos,-27.724317052777977,87.625,90.0,239.744
-6.919,-8.3386,-2.9913,relPos,-27.730915959360345,87.625,90.0,239.744
