relPosN/lon,relPosE/lat,relPosD/height,accN/hMSL,accE/hAcc,accD/vAcc,pos_type
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-61.5,103.85,-117.45,103.6,141.9,106.1,relPos
-74.08188021,4.63967916,2579766.8,2575093.4,177.7,105.0,absPos
-74.08188021,4.63967916,2579766.8,2575093.4,177.7,105.0,absPos
-74.08188021,4.63967916,2579766.8,2575093.4,177.7,105.0,absPos
-74.08188021,4.63967916,2579766.8,2575093.4,177.7,105.0,absPos
