relPosN/lon,relPosE/lat,relPosD/height,accN/hMSL,accE/hAcc,accD/vAcc,pos_type
-89.45,177.1,-118.43,50.8,66.4,78.4,relPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
-74.081873832,4.639676533,2579775.8,2575102.4,83.5,78.4,absPos
