relPosN/lon,relPosE/lat,relPosD/height,accN/hMSL,accE/hAcc,accD/vAcc,pos_type
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-16.25,-58.34,-95.78,84.3,123.7,94.3,relPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
-74.081895232,4.639682535,2579562.5,2574889.1,151.5,94.5,absPos
