relPosN/lon,relPosE/lat,relPosD/height,accN/hMSL,accE/hAcc,accD/vAcc,pos_type
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-43.97,34.26,-77.63,41.7,56.1,50.3,relPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
-74.081886679,4.639680595,2579373.8,2574700.4,69.9,50.3,absPos
