relPosN/lon,relPosE/lat,relPosD/height,accN/hMSL,accE/hAcc,accD/vAcc,pos_type
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-41.07,-87.73,-96.03,46.3,66.7,53.9,relPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
-74.081897603,4.63968086,2579558.6,2574885.2,81.2,53.7,absPos
