relPosN/lon,relPosE/lat,relPosD/height,accN/hMSL,accE/hAcc,accD/vAcc,pos_type
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
-74.081869654,4.639696184,2579517.8,2574844.4,82.5,65.1,absPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
128.64,223.15,-92.14,52.1,64.0,65.1,relPos
-74.081869667,4.639696251,2579519.6,2574846.2,81.7,66.3,absPos
-74.081869667,4.639696251,2579519.6,2574846.2,81.7,66.3,absPos
-74.081869667,4.639696251,2579519.6,2574846.2,81.7,66.3,absPos
-74.081869667,4.639696251,2579519.6,2574846.2,81.7,66.3,absPos
-74.081869667,4.639696251,2579519.6,2574846.2,81.7,66.3,absPos
-74.081869667,4.639696251,2579519.6,2574846.2,81.7,66.3,absPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
129.39,223.01,-92.32,51.4,63.6,66.3,relPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
-74.081869654,4.639696298,2579521.3,2574847.9,81.5,66.7,absPos
