XZ,YZ,MAG,PowerRx
358.37,285.945,233.569,-inf
358.37,285.945,233.569,-22.920352641695576
358.37,285.945,233.569,-22.873902521769793
358.37,285.945,236.004,-22.790223871368745
358.37,285.945,236.004,-22.793031983528742
358.37,285.945,236.004,-22.7251679184462
358.608,270.0,236.004,-22.654092037443906
358.608,270.0,236.004,-22.65643736839508
358.608,270.0,236.004,-22.621578315791165
358.608,270.0,235.196,-22.588363773939516
358.608,270.0,235.196,-22.58418862462087
358.608,270.0,235.196,-22.550707825654474
358.608,270.0,235.196,-22.560140930030407
358.608,270.0,235.196,-22.53215601361547
358.608,270.0,235.196,-22.53690430424832
359.08,243.435,235.548,-22.505819725984736
359.08,243.435,235.548,-22.512144728206493
359.08,243.435,235.548,-22.505763459001503
359.08,243.435,235.548,-22.534425066089398
359.08,243.435,235.548,-22.54076421648836
359.08,243.435,235.548,-22.518514620425115
359.08,243.435,235.548,-22.517299018182424
359.08,243.435,235.548,-22.537317799381288
358.614,260.538,235.548,-22.4947177509901
358.614,260.538,235.548,-22.450869730603202
358.614,260.538,235.548,-22.45832693391218
358.614,260.538,234.525,-22.46788568279579
358.614,260.538,234.525,-22.51136943029693
358.614,260.538,234.525,-22.488009642565263
358.614,260.538,234.525,-22.473850885455818
358.614,260.538,234.525,-22.50138317431687
358.614,260.538,235.098,-22.499680123561888
358.39,270.0,235.098,-22.524252358144285
358.39,270.0,235.098,-22.472477077664163
358.39,270.0,235.098,-22.482932514622355
358.39,270.0,235.098,-22.471560553972058
358.39,270.0,235.098,-22.481488239743076
358.39,270.0,234.335,-22.469952191978205
358.39,270.0,234.335,-22.51237689375202
358.39,270.0,234.335,-22.48328761297071
358.39,270.0,234.335,-22.488678552569294
358.608,251.565,234.335,-22.480848632267953
358.608,251.565,234.335,-22.52341839978461
358.608,251.565,234.782,-22.471403799553006
358.608,251.565,234.782,-22.496218533349804
358.608,251.565,234.782,-22.498194770604908
358.608,251.565,234.782,-22.486085979752197
358.608,251.565,234.782,-22.50105132376413
358.608,251.565,236.004,-22.50918852045008
358.608,251.565,236.004,-22.49818623297923
358.608,251.565,236.004,-22.509853491772645
358.608,251.565,236.004,-22.553328808382847
358.608,251.565,236.004,-22.49891513705154
358.608,251.565,236.004,-22.49070743251904
358.608,251.565,234.964,-22.499357392491287
358.608,251.565,234.964,-22.50489838963391
358.608,251.565,234.964,-22.485221236607437
357.938,270.0,234.964,-22.476432138564878
357.938,270.0,234.964,-22.488620265428516
357.938,270.0,234.652,-22.543217564965005
357.938,270.0,234.652,-22.471811998090313
357.938,270.0,234.652,-22.451213771122383
357.938,270.0,234.652,-22.494911269797928
357.938,270.0,235.713,-22.465579762679198
358.396,270.0,235.713,-22.528178407350566
358.396,270.0,235.713,-22.500695669277498
358.396,270.0,235.713,-22.479426078401993
358.396,270.0,235.713,-22.48723684802676
358.396,270.0,235.713,-22.509363763851553
358.396,270.0,234.525,-22.50808361373638
358.396,270.0,234.525,-22.52718491401168
358.396,270.0,234.525,-22.50163814989417
358.396,270.0,234.525,-22.521065647339423
358.625,260.538,234.525,-22.469970049474227
358.625,260.538,234.525,-22.46988076272837
358.625,260.538,234.525,-22.52557300676545
358.625,260.538,234.525,-22.508665985705527
358.625,260.538,234.525,-22.504599571165087
358.625,260.538,234.525,-22.47299170206758
358.625,260.538,234.525,-22.517983288615685
358.625,260.538,235.235,-22.50308374418327
358.845,258.69,235.235,-22.48289266302587
358.845,258.69,235.235,-22.498117033895667
358.845,258.69,235.235,-22.541739943045517
358.845,258.69,235.235,-22.47288403688326
358.845,258.69,238.753,-22.429203942930034
358.845,258.69,238.753,-22.479847560412768
358.845,258.69,238.753,-22.487652813149307
358.845,258.69,238.753,-22.53033718847988
358.845,258.69,238.753,-22.519304741188925
358.39,278.13,238.753,-22.527048303831997
358.39,278.13,235.692,-22.504503269593616
358.39,278.13,235.692,-22.460745722376593
358.39,278.13,235.692,-22.53120643481413
358.39,278.13,235.692,-22.563379260201614
358.39,278.13,235.692,-22.526150040608336
358.39,278.13,235.692,-22.475557692958454
358.39,278.13,234.834,-22.478737119463513
358.39,278.13,234.834,-22.514772755488405
357.7,275.711,234.834,-22.524412840049536
357.7,275.711,234.834,-22.546980847964292
357.7,275.711,234.834,-22.539163138516596
357.7,275.711,234.211,-22.529582171928126
357.7,275.711,233.775,-22.47120953910652
357.7,275.711,233.775,-22.473011805820956
357.7,275.711,233.775,-22.50384901545417
357.7,275.711,233.775,-22.47564486138321
357.7,275.711,233.775,-22.52929794311069
358.836,258.69,233.931,-22.474590017461814
358.836,258.69,233.931,-22.528116872927782
358.836,258.69,233.931,-22.503652848413193
358.836,258.69,233.931,-22.48685050231877
358.836,258.69,233.931,-22.47994421173472
358.836,258.69,233.931,-22.51013419789814
358.836,258.69,236.31,-22.473579663603807
358.836,258.69,236.31,-22.494978172737362
358.137,270.0,236.31,-22.536711171984297
358.137,270.0,236.31,-22.519423949029278
358.137,270.0,236.31,-22.529068039141062
358.137,270.0,236.31,-22.480186744429936
358.137,270.0,234.462,-22.458776207390414
358.137,270.0,234.462,-22.51677866567702
358.137,270.0,234.462,-22.512112271099653
