XZ,YZ,MAG,PowerRx
89.4594,89.7297,139.251,-inf
89.4594,89.7297,139.251,-47.19930866195423
89.4594,89.7297,139.251,-47.26928383981149
90.0,87.0297,139.251,-47.2446172639593
90.0,87.0297,139.251,-47.375394735629975
90.0,87.0297,139.251,-47.330984447992115
90.0,87.0297,139.251,-47.304621048319994
90.0,87.0297,139.251,-47.281954371397234
90.0,87.0297,139.251,-47.34444699835423
90.0,87.0297,139.251,-47.28712415831953
90.0,87.0297,139.251,-47.27577097406967
90.0,87.0297,139.251,-47.25847268855336
90.0,88.6295,139.251,-47.29109755784572
90.0,88.6295,141.048,-47.28669801994599
90.0,88.6295,141.048,-47.272350590044795
90.0,88.6295,141.048,-47.18142119246383
90.0,88.6295,141.048,-47.24880979009406
90.0,88.6295,141.048,-47.25549497775739
90.0,88.6295,141.048,-47.29525920121546
90.0,88.6295,139.953,-47.24985573666587
90.0,88.6295,139.953,-47.2567680392611
90.0,87.3246,139.953,-47.28894153153446
90.0,87.3246,139.953,-47.30717368112216
90.0,87.3246,139.953,-47.30649169932075
90.0,87.3246,139.953,-47.33296427543949
90.0,87.3246,140.126,-47.3241010782747
90.0,87.3246,140.126,-47.2343274282597
90.0,87.3246,140.126,-47.201264599793916
90.0,87.3246,140.126,-47.23820574102086
90.0,87.3246,140.126,-47.24672022387055
89.731,88.3864,140.126,-47.319257296138744
89.731,88.3864,140.126,-47.27358933455751
89.731,88.3864,140.126,-47.321053797749634
89.731,88.3864,140.126,-47.308162585606716
89.731,88.3864,140.126,-47.314031050784564
89.731,88.3864,140.126,-47.221213411377725
89.731,88.3864,139.921,-47.19557026594741
89.731,88.3864,139.921,-47.34161215322898
89.4543,87.5459,139.921,-47.23394717792683
89.4543,87.5459,139.921,-47.35767571923138
89.4543,87.5459,139.921,-47.26458257053983
89.4543,87.5459,139.921,-47.22228606934442
89.4543,87.5459,139.748,-47.32159683698469
89.4543,87.5459,139.748,-47.25408638298906
89.4543,87.5459,139.748,-47.34733140906273
89.4543,87.5459,139.748,-47.215533705178025
89.731,88.1177,139.748,-47.28684658205066
89.731,88.1177,139.544,-47.22786430592015
89.731,88.1177,139.544,-47.27249233869102
89.731,88.1177,139.544,-47.25166806650785
89.731,88.1177,139.544,-47.26793551341216
89.731,88.1177,139.544,-47.28593995652154
89.731,88.1177,139.428,-47.272214115236565
89.731,88.1177,139.428,-47.28099913527984
89.7322,87.8591,139.428,-47.26922697104747
89.7322,87.8591,139.428,-47.319962329097585
89.7322,87.8591,139.428,-47.23862113456111
89.7322,87.8591,139.428,-47.3191947090198
89.7322,87.8591,139.139,-47.23805046880414
89.7322,87.8591,139.139,-47.23843787549622
89.7322,87.8591,139.139,-47.21788592553836
89.7322,87.8591,139.139,-47.24783090120521
90.0,88.1352,139.139,-47.20045392407066
90.0,88.1352,139.194,-47.28290717656317
90.0,88.1352,139.194,-47.35930190639802
90.0,88.1352,139.194,-47.27473168526362
90.0,88.1352,139.194,-47.24381337540447
90.0,88.1352,139.194,-47.25517427760497
90.0,88.1352,139.194,-47.238413824951884
90.0,88.1352,139.341,-47.239112390658576
90.0,88.1352,139.341,-47.21216067642905
89.4491,87.5224,139.341,-47.29662637157318
89.4491,87.5224,139.341,-47.27997205524521
89.4491,87.5224,139.341,-47.21122846078211
89.4491,87.5224,139.341,-47.3119114701601
89.4491,87.5224,139.574,-47.209355800617764
89.4491,87.5224,139.574,-47.3018452302003
89.4491,87.5224,139.574,-47.26461728643927
89.4491,87.5224,139.574,-47.193619477772344
90.0,88.6678,139.574,-47.22783222960764
90.0,88.6678,139.717,-47.22375160404895
90.0,88.6678,139.717,-47.19548173946578
90.0,88.6678,139.717,-47.32059394617693
90.0,88.6678,139.717,-47.30277375496335
90.0,88.6678,139.717,-47.25199873508323
90.0,88.6678,139.717,-47.346816233489555
90.0,88.6678,140.126,-47.346816233489555
90.0,88.6678,140.126,-47.30202402210742
89.7271,86.4576,140.126,-47.30202402210742
89.7271,86.4576,140.126,-47.23907369470821
89.7271,86.4576,140.126,-47.240084608825924
89.7271,86.4576,140.126,-47.17479126929251
89.7271,86.4576,140.126,-47.19515353422251
89.7271,86.4576,140.126,-47.17631559580766
89.7271,86.4576,140.126,-47.196542105082386
89.7271,86.4576,140.126,-47.16879294978547
90.269,89.1931,140.126,-47.134230464884055
90.269,89.1931,139.779,-47.07779860068268
90.269,89.1931,139.779,-47.205950719681695
90.269,89.1931,139.779,-47.159955260036924
90.269,89.1931,139.779,-47.12707586225367
90.269,89.1931,139.779,-47.21831551304514
90.269,89.1931,140.092,-47.22089419119051
90.269,89.1931,140.092,-47.218491939848064
89.7258,86.7139,140.092,-47.207991942214484
89.7258,86.7139,140.092,-47.11328041717675
89.7258,86.7139,140.092,-47.165287898440944
89.7258,86.7139,140.092,-47.19543825343398
89.7258,86.7139,140.228,-47.2182619098609
89.7258,86.7139,140.228,-47.17589503850001
89.7258,86.7139,140.228,-47.190292892879484
89.7258,86.7139,140.228,-47.217495404660994
90.0,88.6425,140.228,-47.2083904364068
90.0,88.6425,139.574,-47.20698016490178
90.0,88.6425,139.574,-47.19793863084867
90.0,88.6425,139.574,-47.116203849689185
90.0,88.6425,139.574,-47.18678853665199
90.0,88.6425,139.574,-47.275486212674224
90.0,88.6425,139.574,-47.15959943585241
90.0,88.6425,139.953,-47.2041887471027
90.0,88.6425,139.953,-47.18352345103309
89.7297,87.2993,139.953,-47.15300117895201
89.7297,87.2993,139.953,-47.23315126715575
89.7297,87.2993,139.953,-47.15798857943746
89.7297,87.2993,139.953,-47.140456208550674
89.7297,87.2993,140.842,-47.186829869506624
89.7297,87.2993,140.842,-47.10111999532288
89.7297,87.2993,140.842,-47.186281724506934
89.7297,87.2993,140.842,-47.15003904745078
89.7322,88.1265,140.842,-47.13151524484153
89.7322,88.1265,139.37,-47.14605360867928
89.7322,88.1265,139.37,-47.19180249798433
89.7322,88.1265,139.37,-47.19169904820553
89.7322,88.1265,139.37,-47.18721325047899
89.7322,88.1265,139.37,-47.19329141322853
89.7322,88.1265,139.341,-47.22684945320887
89.7322,88.1265,139.341,-47.24919606124506
90.0,87.5805,139.341,-47.20889438272178
90.0,87.5805,139.341,-47.236720165070174
90.0,87.5805,139.341,-47.194818107173624
90.0,87.5805,139.341,-47.25829541796919
90.0,87.5805,140.332,-47.20683301220842
90.0,87.5805,140.332,-47.15456300477554
90.0,87.5805,140.332,-47.16885880907646
90.0,87.5805,140.332,-47.16101263551356
90.0,87.5805,140.332,-47.17505507656978
90.0,88.6489,140.332,-47.14677382003017
90.0,88.6489,140.711,-47.122684285264604
90.0,88.6489,140.711,-47.22536619232322
90.0,88.6489,140.711,-47.21402908764737
90.0,88.6489,140.711,-47.12256312399349
90.0,88.6489,140.711,-47.19013725600652
90.0,88.6489,140.711,-47.16643707899514
90.0,88.6489,140.368,-47.20145562821979
90.0,88.6489,140.368,-47.18170294857409
90.0,88.6489,140.368,-47.2414287620629
89.7322,87.5917,140.368,-47.20910703912815
89.7322,87.5917,140.368,-47.209713647458685
89.7322,87.5917,140.368,-47.264950520590155
89.7322,87.5917,139.574,-47.22257986603137
89.7322,87.5917,139.574,-47.1600923602519
89.7322,87.5917,139.574,-47.0946630350332
89.7322,87.5917,139.574,-47.1025588826095
89.7322,87.5917,139.574,-47.12399589417815
90.0,87.8286,139.37,-47.218868757374466
90.0,87.8286,139.37,-47.07298543624517
90.0,87.8286,139.37,-47.16274587068811
90.0,87.8286,139.37,-47.16156068222794
90.0,87.8286,139.37,-47.18265775263181
90.0,87.8286,139.37,-47.28221103780541
90.0,87.8286,140.126,-47.11328346509938
90.0,87.8286,140.126,-47.21409329689338
90.0,87.8286,140.126,-47.15679904421849
89.731,87.5805,140.126,-47.12038076365705
89.731,87.5805,140.126,-47.15576167422994
89.731,87.5805,140.126,-47.18701638890597
89.731,87.5805,140.332,-47.17141625958067
89.731,87.5805,140.332,-47.13939309343678
89.731,87.5805,140.332,-47.08002570061787
89.731,87.5805,140.332,-47.10034451120307
89.731,87.5805,140.332,-47.13811769872338
90.0,88.6678,140.332,-47.24156872020021
90.0,88.6678,139.604,-47.174485746906186
90.0,88.6678,139.604,-47.227790243898056
90.0,88.6678,139.604,-47.101116449358614
90.0,88.6678,139.604,-47.17604655813088
90.0,88.6678,139.604,-47.17604655813088
90.0,88.6678,139.604,-47.200482429920996
90.0,88.6678,139.921,-47.16333319053451
90.0,88.6678,139.921,-47.18014629395962
90.2652,87.8789,139.921,-47.18014629395962
90.2652,87.8789,139.921,-47.18416005852469
90.2652,87.8789,139.921,-47.237690540924156
90.2652,87.8789,139.921,-47.19063055616899
90.2652,87.8789,139.921,-47.2627948138779
90.2652,87.8789,139.921,-47.15308422974402
90.2652,87.8789,139.921,-47.19673680971465
90.2652,87.8789,139.921,-47.28458539303287
89.7258,87.8079,140.126,-47.29613942838536
89.7258,87.8079,140.297,-47.33511981955566
