lon,lat,height
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
-74.0827234,4.6388929,2591439
