relPosN,relPosE,relPosD,accN,accE,accD,pos_type
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-98.54,-220.7,8.76,58.9,84.0,71.7,relPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
