relPosN/lon,relPosE/lat,relPosD/height,accN/hMSL,accE/hAcc,accD/vAcc,pos_type
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
-40.43,-45.76,-78.1,30.4,42.3,38.0,relPos
