R_N/Lon,R_E/Lat,R_D/Hgt,PosType,PowerRx,XZ,YZ,MAG
-2.8821,3.4123,0.731,relPos,-18.17821510442829,86.3588,93.1221,153.625
-2.8831,3.404,0.7227,relPos,-18.24593299635954,86.3588,93.1221,154.564
-2.8831,3.404,0.7227,relPos,-18.182584584729312,86.3588,93.1221,154.564
-2.8831,3.404,0.7227,relPos,-18.27730470993282,86.3588,93.1221,154.564
-2.8831,3.404,0.7227,relPos,-18.340819438676498,86.3588,93.1221,154.564
-2.8831,3.404,0.7227,relPos,-18.258885648848334,86.3588,93.1221,154.564
-2.8831,3.404,0.7227,relPos,-18.211316242815276,86.3588,93.1221,154.198
-2.8831,3.404,0.7227,relPos,-18.101770429534653,86.3588,93.1221,154.198
-2.8831,3.404,0.7227,relPos,-18.115533147797724,88.1692,93.9182,154.198
-2.8831,3.404,0.7227,relPos,-17.99018672191562,88.1692,93.9182,154.198
-2.8831,3.404,0.7227,relPos,-17.78715414667879,88.1692,93.9182,154.198
-2.8831,3.404,0.7227,relPos,-17.580857322301412,88.1692,93.9182,154.198
-2.8831,3.404,0.7227,relPos,-17.53791672285943,88.1692,93.9182,153.626
-2.8831,3.404,0.7227,relPos,-17.325276206139897,88.1692,93.9182,153.626
-2.8831,3.404,0.7227,relPos,-17.39834393284288,88.1692,93.9182,153.626
-2.8831,3.404,0.7227,relPos,-17.244178516595678,88.1692,93.9182,153.626
-2.8831,3.404,0.7227,relPos,-17.205786280172156,86.3422,91.3079,153.626
-2.8831,3.404,0.7227,relPos,-17.22688370609656,86.3422,91.3079,153.435
-2.8895999999999997,3.4082,0.7191,relPos,-17.13603857017318,86.3422,91.3079,153.435
-2.8895999999999997,3.4082,0.7191,relPos,-17.06926007102136,86.3422,91.3079,153.435
-2.8895999999999997,3.4082,0.7191,relPos,-17.146854597620777,86.3422,91.3079,153.435
-2.8895999999999997,3.4082,0.7191,relPos,-17.11110516867919,86.3422,91.3079,153.435
-2.8895999999999997,3.4082,0.7191,relPos,-17.039617407671145,86.3422,91.3079,153.244
-2.8895999999999997,3.4082,0.7191,relPos,-17.021241280015225,86.3422,91.3079,153.244
-2.8895999999999997,3.4082,0.7191,relPos,-16.964773348062316,86.7295,92.9984,153.244
-2.8895999999999997,3.4082,0.7191,relPos,-17.03451224668777,86.7295,92.9984,153.244
-2.8895999999999997,3.4082,0.7191,relPos,-16.999652556340592,86.7295,92.9984,153.244
-2.8895999999999997,3.4082,0.7191,relPos,-17.033502965566164,86.7295,92.9984,152.16
